epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[2, 0, 2, 0, 0, 0, 3, 3, 0, 2, 0, 3, 3, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 2, 3, 0, 0, 3, 3, 0, 0, 0, 3, 3, 3, 3, 0, 3, 3, 0, 2, 0, 0, 0, 2, 0, 3, 3, 0, 2, 0, 3, 0, 3, 3, 0, 2, 3, 2, 0, 0, 2, 3, 0, 0, 0, 2, 3, 0, 3, 0, 0, 2, 0, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 2, 0, 0, 0, 3, 3, 2, 3, 3, 0, 3, 2, 3, 2, 3, 2, 0, 2, 0, 3, 0, 3, 3, 3, 0, 0, 2, 3, 2, 2, 3, 2, 0, 2, 0, 3, 3, 3, 3, 3, 0, 2, 3, 3, 0, 2, 3, 3, 0, 3, 2]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",5.725488603115082,14.285714149475098,0.13468610330586306
1,0.10357853770256042,0.5250457038391225,3.689215660095215,54.2349739074707,0.45740423098913674,"[3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.411194384098053,68.13186645507812,0.5359900373599005
2,0.10286924242973328,0.4010968921389397,3.5176995545625687,54.50819778442383,0.49440596696856687,"[3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 3, 3, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 3, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.2933246195316315,68.62026977539062,0.6365044933374651
3,0.1003153920173645,0.4124314442413163,3.4555220752954483,56.010929107666016,0.5104325699745547,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 3, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.339201658964157,65.44566345214844,0.6236119228521333
4,0.08093299716711044,0.41718464351005485,3.4352819621562958,56.14754104614258,0.5935604293047131,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 4, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 3, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.3355156779289246,66.17826843261719,0.6307288119100904
5,0.09823330491781235,0.4160877513711152,3.4117981046438217,55.73770523071289,0.601115760111576,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 4, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 3, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.362958088517189,66.66666412353516,0.6378304821150855
6,0.0879022404551506,0.4226691042047532,3.413147911429405,56.28415298461914,0.6110331930808789,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 2, 4, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 4, 3, 3, 3, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.408629760146141,63.85836410522461,0.6099453866053464
7,0.084818996489048,0.4219378427787934,3.4273410588502884,57.5136604309082,0.6236355007119126,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 4, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.4254672825336456,64.5909652709961,0.623167576889911
8,0.09708503633737564,0.42778793418647165,3.4317615777254105,56.14754104614258,0.6282231598687295,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 2, 4, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.4537536203861237,64.34676361083984,0.6169601837672282
9,0.1080048456788063,0.4270566727605119,3.4412054866552353,56.69398880004883,0.6363205310573732,"[4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 2, 4, 2, 3, 4, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 2, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 2, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 4, 4, 4, 2, 3, 3, 4, 3, 2, 4, 2, 3, 2, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 2, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",3.5005244612693787,62.63736343383789,0.6097285067873304
