epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,concordancia_validation,y,y_hat,loss_test,test_acc,test_qwk,concordancia_test
0,,,,,,,,,1.5762922763824463,0.7246376872062683,0.006307288223417418,0.6666666666666666
1,0.4352127015590668,0.824,1.0492264032363892,59.09090805053711,0.4749082007343941,0.8484848484848485,"[3, 2, 4, 3, 5, 4, 4, 3, 4, 5, 4, 4, 3, 2, 3, 3, 4, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 3, 2, 3, 5, 3, 3, 4, 2, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 4, 0, 4, 4, 2, 3, 2, 4, 3, 3, 4, 5, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 5, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 4, 2, 4, 4, 3, 3, 3, 4, 3, 4, 4, 2, 3, 5, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 5, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 5, 3, 3, 2, 4, 4, 4, 4, 5, 4, 3]","[3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3]",0.9708552956581116,75.36231994628906,0.650590788521823,0.6666666666666666
2,0.17412495613098145,0.398,0.9342995285987854,53.030303955078125,0.4705494505494505,0.22727272727272727,,,0.828612893819809,67.39130401611328,0.5201192250372577,0.14492753623188406
3,0.41927650570869446,0.272,0.8308869898319244,59.84848403930664,0.4785377358490567,0.030303030303030304,"[3, 2, 4, 4, 4, 4, 2, 3, 3, 3, 3, 4, 5, 5, 4, 4, 3, 3, 4, 3, 4, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 2, 3, 2, 3, 3, 3, 3, 4, 3, 2, 3, 5, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 3, 3, 3, 5, 4, 4, 4, 4, 5, 3, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 3, 3, 4, 4, 2, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 0, 4, 4, 4, 4, 3, 4, 3, 3, 2, 3, 3, 4, 5, 3, 2, 3, 3, 3, 4, 4, 3, 4, 5, 4, 3, 3]","[3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 4, 3, 3, 3, 4, 3, 3, 2, 3, 2, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 2, 3, 4, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3]",0.741056963801384,73.18840789794922,0.6288659793814433,0.028985507246376812
4,0.3211812973022461,0.062,0.9687646180391312,60.60606002807617,0.5124296435272045,0.045454545454545456,"[3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 3, 5, 3, 4, 5, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 2, 3, 4, 3, 4, 2, 4, 4, 3, 4, 4, 3, 3, 3, 4, 2, 3, 2, 3, 5, 4, 4, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 2, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 5, 5, 4, 4, 2, 3, 3, 5, 3, 4, 5, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 3, 3, 4, 3, 0, 4, 3, 5, 4, 3, 4, 3, 2, 3, 2, 5, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 2, 4, 3, 3, 2]","[3, 4, 4, 4, 4, 3, 2, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 2, 4, 3, 4, 2, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 3, 2, 3, 4, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3, 4, 2, 3, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 2]",0.6613386869430542,73.91304016113281,0.6671782503836878,0.0
5,0.2219039797782898,0.04,0.930954784154892,59.09090805053711,0.6289113428943938,0.2878787878787879,"[4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 5, 3, 4, 4, 5, 3, 4, 2, 4, 2, 3, 4, 4, 4, 4, 3, 3, 5, 4, 3, 3, 3, 3, 4, 5, 4, 3, 3, 4, 5, 3, 3, 4, 3, 5, 4, 3, 4, 0, 3, 3, 3, 3, 2, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 5, 3, 4, 4, 4, 4, 3, 4, 3, 3, 5, 4, 4, 4, 3, 3, 4, 5, 3, 4, 2, 3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 2, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 5, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 4, 4, 4, 2, 3, 2, 2, 3, 3, 3, 4, 4, 3, 4]","[4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 5, 4, 4, 3, 5, 3, 4, 3, 4, 2, 3, 4, 4, 4, 5, 3, 3, 5, 5, 4, 3, 3, 3, 4, 4, 3, 2, 3, 4, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 5, 4, 3, 4, 5, 4, 5, 3, 4, 3, 2, 4, 4, 4, 4, 4, 3, 5, 5, 3, 4, 2, 3, 4, 4, 3, 5, 3, 3, 4, 4, 4, 5, 3, 4, 2, 5, 4, 5, 4, 3, 3, 5, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 2, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 5, 3, 5]",0.8115439414978027,70.28985595703125,0.6948979591836735,0.13043478260869565
6,0.2189304232597351,0.078,0.8306918442249298,62.121212005615234,0.5890671169269734,0.10606060606060606,,,0.9073114991188049,63.043479919433594,0.5802590266875981,0.028985507246376812
7,0.30981382727622986,0.102,0.8654201924800873,53.030303955078125,0.564659977703456,0.045454545454545456,,,0.8364783823490143,52.89855194091797,0.5775056397035127,0.0
8,0.12228582054376602,0.086,1.1191259622573853,57.57575607299805,0.567103935418769,0.045454545454545456,,,0.8499646782875061,57.246376037597656,0.5753472832776507,0.0
9,0.13370102643966675,0.106,0.9274792671203613,66.66666412353516,0.6397779833487511,0.12121212121212122,"[0, 4, 3, 5, 5, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 2, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 2, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 5, 3, 2, 2, 4, 3, 2, 5, 2, 3, 3, 4, 3, 4, 4, 3, 4, 5, 5, 3, 4, 5, 5, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 3, 3, 4, 3, 4, 2, 5, 4, 3, 3, 2, 4, 4, 4, 4, 3, 5, 4]","[3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 2, 5, 2, 4, 2, 2, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 2, 3, 3, 2, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 5, 3, 2, 2, 4, 3, 3, 4, 2, 2, 3, 4, 2, 3, 3, 3, 3, 5, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 2, 5, 4, 3, 3, 3, 3, 3, 2, 3, 3, 3, 4, 3, 4, 3, 4, 4, 2, 3, 2, 4, 4, 4, 4, 4, 3, 4]",0.7029649317264557,68.840576171875,0.6553829078801332,0.028985507246376812
10,0.1947983056306839,0.096,0.913182407617569,57.57575607299805,0.5385057471264367,0.21212121212121213,,,0.8105431795120239,57.97101593017578,0.5975372650680493,0.14492753623188406
11,0.13580788671970367,0.118,0.9295687079429626,59.84848403930664,0.6152077516833634,0.19696969696969696,,,0.7505355179309845,67.39130401611328,0.6954602774274906,0.08695652173913043
12,0.2866331934928894,0.11,0.774259939789772,62.878787994384766,0.5835771762984638,0.21212121212121213,,,0.6142829582095146,71.73912811279297,0.7144039735099338,0.14492753623188406
13,0.013770072720944881,0.114,1.0130778551101685,58.33333206176758,0.5097954790096878,0.12121212121212122,,,0.7922095656394958,65.21739196777344,0.5921830314585319,0.057971014492753624
