epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,concordancia_validation,y,y_hat,loss_test,test_acc,test_qwk,concordancia_test
0,,,,,,,,,1.6591442227363586,0.7246376872062683,0.0017049883086517337,0.6666666666666666
1,0.5653690695762634,0.208,1.461560070514679,28.030303955078125,0.06832609421984626,0.2727272727272727,"[3, 2, 4, 3, 5, 4, 4, 3, 4, 5, 4, 4, 3, 2, 3, 3, 4, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 3, 2, 3, 5, 3, 3, 4, 2, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 4, 0, 4, 4, 2, 3, 2, 4, 3, 3, 4, 5, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 5, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 4, 2, 4, 4, 3, 3, 3, 4, 3, 4, 4, 2, 3, 5, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 5, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 5, 3, 3, 2, 4, 4, 4, 4, 5, 4, 3]","[4, 1, 3, 4, 3, 1, 4, 3, 1, 3, 4, 3, 3, 3, 3, 3, 3, 4, 1, 3, 0, 4, 3, 3, 4, 4, 1, 4, 3, 3, 4, 4, 1, 3, 3, 3, 4, 4, 4, 3, 4, 1, 3, 3, 4, 3, 4, 4, 1, 3, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 1, 1, 3, 3, 3, 4, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 4, 3, 0, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 1, 3, 3, 3, 4, 4, 1, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 1, 4, 4, 3, 3, 3, 3, 4, 3]",1.4074710309505463,41.30434799194336,0.17479300827966882,0.2318840579710145
2,0.4097956418991089,0.18,1.2777586579322815,40.15151596069336,-0.005298013245033095,0.030303030303030304,,,1.3057481050491333,36.956520080566406,0.07189239332096475,0.057971014492753624
3,0.5287021398544312,0.044,1.2179292738437653,42.42424392700195,0.12522090381216866,0.015151515151515152,"[3, 2, 4, 4, 4, 4, 2, 3, 3, 3, 3, 4, 5, 5, 4, 4, 3, 3, 4, 3, 4, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 2, 3, 2, 3, 3, 3, 3, 4, 3, 2, 3, 5, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 3, 3, 3, 5, 4, 4, 4, 4, 5, 3, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 3, 3, 4, 4, 2, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 0, 4, 4, 4, 4, 3, 4, 3, 3, 2, 3, 3, 4, 5, 3, 2, 3, 3, 3, 4, 4, 3, 4, 5, 4, 3, 3]","[4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4]",1.1730486452579498,45.65217208862305,0.12878787878787867,0.0
4,0.3305954933166504,0.014,1.1988755762577057,46.969696044921875,0.29718482252141976,0.0,"[3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 3, 5, 3, 4, 5, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 2, 3, 4, 3, 4, 2, 4, 4, 3, 4, 4, 3, 3, 3, 4, 2, 3, 2, 3, 5, 4, 4, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 2, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 5, 5, 4, 4, 2, 3, 3, 5, 3, 4, 5, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 3, 3, 4, 3, 0, 4, 3, 5, 4, 3, 4, 3, 2, 3, 2, 5, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 2, 4, 3, 3, 2]","[3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4]",1.0972723066806793,54.34782791137695,0.2620320855614975,0.0
5,0.3079472482204437,0.006,1.2255605459213257,47.727272033691406,0.3345481049562683,0.0,"[4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 5, 3, 4, 4, 5, 3, 4, 2, 4, 2, 3, 4, 4, 4, 4, 3, 3, 5, 4, 3, 3, 3, 3, 4, 5, 4, 3, 3, 4, 5, 3, 3, 4, 3, 5, 4, 3, 4, 0, 3, 3, 3, 3, 2, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 5, 3, 4, 4, 4, 4, 3, 4, 3, 3, 5, 4, 4, 4, 3, 3, 4, 5, 3, 4, 2, 3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 2, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 5, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 4, 4, 4, 2, 3, 2, 2, 3, 3, 3, 4, 4, 3, 4]","[3, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4]",1.0626423060894012,59.4202880859375,0.3388642206122927,0.0
6,0.29352620244026184,0.002,1.0352433323860168,51.51515197753906,0.3800100200400801,0.0,"[4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 2, 5, 4, 4, 5, 4, 5, 4, 4, 4, 3, 4, 5, 3, 4, 4, 4, 3, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 5, 4, 3, 3, 3, 3, 3, 3, 5, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 2, 4, 4, 2, 3, 4, 4, 3, 2, 3, 3, 5, 4, 2, 3, 5, 5, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 5, 3, 4, 3, 4, 3, 3, 4, 4, 3, 2, 3, 3, 3, 4, 2, 0, 3, 3, 3, 4, 2, 4]","[4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4]",1.0517763793468475,60.869564056396484,0.40028188865398173,0.0
7,0.42589935660362244,0.0,1.0119590759277344,51.51515197753906,0.3800100200400801,0.0,,,0.9832214117050171,60.869564056396484,0.44747998115873766,0.0
8,0.37506866455078125,0.0,1.069227010011673,53.030303955078125,0.40119313944817303,0.0,"[4, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 2, 3, 5, 4, 3, 3, 3, 3, 4, 5, 3, 4, 4, 3, 4, 3, 2, 3, 2, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 4, 2, 4, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 0, 4, 4, 3, 4, 4, 3, 3, 3, 5, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 5, 5, 3, 4, 4, 4, 3, 4, 5, 5, 3, 4, 4, 2, 5, 3, 4, 3, 5, 4, 2, 3, 3, 3, 4, 4, 2, 2, 3, 5, 3, 4, 3, 4, 4, 3, 3]","[3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3]",0.9606990218162537,60.869564056396484,0.44747998115873766,0.0
9,0.2566528618335724,0.0,1.0255464613437653,56.06060791015625,0.43400447427293065,0.0,"[0, 4, 3, 5, 5, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 2, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 2, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 5, 3, 2, 2, 4, 3, 2, 5, 2, 3, 3, 4, 3, 4, 4, 3, 4, 5, 5, 3, 4, 5, 5, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 3, 3, 4, 3, 4, 2, 5, 4, 3, 3, 2, 4, 4, 4, 4, 3, 5, 4]","[3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4]",0.9304355978965759,65.94203186035156,0.5212918660287081,0.0
