epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk,y_1,y_hat_1,loss_test-1,test-1_acc,test-1_qwk,y_2,y_hat_2,loss_test-2,test-2_acc,test-2_qwk,y_3_syntax,y_3_mistake,y_hat_3_syntax,y_hat_3_mistake,loss_test-3,test-3_acc_syntax,test-3_acc_mistakes,test-3_qwk_syntax,test-3_qwk_mistakes,y_4_syntax,y_4_mistake,y_hat_4_syntax,y_hat_4_mistake,loss_test-4,test-4_acc_syntax,test-4_acc_mistakes,test-4_qwk_syntax,test-4_qwk_mistakes
0,,,,,,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]","[4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3]",5.324301242828369,69.56521606445312,0.5894811994288434,"[4, 2, 3, 3, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 2, 5, 4, 3]","[3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4]",2.775973320007324,55.55555725097656,0.4355400696864111,"[3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]","[3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4]",0.17718376219272614,77.77777862548828,0.5178571428571428,"[3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3]","[2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 0, 3, 2, 1]","[2, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 2, 3, 3, 3]","[2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",0,55.55555555555556,66.66666666666666,0.45344129554655876,0.3816793893129772,"[2, 2, 3, 2, 2, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]","[2, 2, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 3, 2, 3, 3, 3]","[2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",0,48.148148148148145,77.77777777777779,0.3527397260273972,0.4087591240875913
1,0.2895735204219818,0.154,2.7387311160564423,53.030303955078125,0.38702290076335877,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]","[4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3]",1.6711533963680267,69.56521606445312,0.58840372226199,"[4, 2, 3, 3, 4, 3, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 2, 5, 4, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4]",1.5750685930252075,48.14814758300781,0.365771812080537,"[3, 3, 4, 3, 3, 3, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4]","[3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4]",0.18542014062404633,77.77777862548828,0.5573770491803279,"[3, 2, 3, 2, 3, 2, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 4, 2, 3, 3, 3, 4, 3, 3]","[2, 0, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 0, 3, 2, 1]","[2, 2, 4, 2, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",0,48.148148148148145,62.96296296296296,0.49169435215946844,0.34636871508379885,"[2, 2, 3, 2, 2, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3]","[1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2]","[2, 2, 4, 2, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2]",0,22.22222222222222,74.07407407407408,0.29071803852889666,0.35051546391752586
2,0.2616593539714813,0.108,1.4524933993816376,53.030303955078125,0.38702290076335877,,,1.4057301878929138,68.1159439086914,0.5730604474059972,,,0.9711360335350037,48.14814758300781,0.365771812080537,,,0.19214078783988953,77.77777862548828,0.5573770491803279,,,,,0,48.148148148148145,62.96296296296296,0.49169435215946844,0.34636871508379885,,,,,0,22.22222222222222,74.07407407407408,0.29071803852889666,0.35051546391752586
3,0.28050705790519714,0.102,1.449974149465561,53.030303955078125,0.38702290076335877,,,1.4092651009559631,68.1159439086914,0.5730604474059972,,,0.3853186070919037,48.14814758300781,0.365771812080537,,,0.1903194934129715,77.77777862548828,0.5573770491803279,,,,,0,48.148148148148145,62.96296296296296,0.49169435215946844,0.34636871508379885,,,,,0,22.22222222222222,74.07407407407408,0.29071803852889666,0.35051546391752586
4,0.27233392000198364,0.092,1.452209085226059,53.030303955078125,0.38702290076335877,,,1.4152797162532806,65.21739196777344,0.543801652892562,,,0.38479235768318176,51.85185241699219,0.3999999999999999,,,0.18885928392410278,74.0740737915039,0.46153846153846156,,,,,0,48.148148148148145,62.96296296296296,0.49169435215946844,0.34636871508379885,,,,,0,22.22222222222222,74.07407407407408,0.29071803852889666,0.35051546391752586
5,0.28229957818984985,0.086,1.4521575570106506,53.030303955078125,0.38702290076335877,,,1.4152085781097412,65.21739196777344,0.543801652892562,,,0.38475245237350464,51.85185241699219,0.3999999999999999,,,0.18885430693626404,74.0740737915039,0.46153846153846156,,,,,0,48.148148148148145,62.96296296296296,0.49169435215946844,0.34636871508379885,,,,,0,22.22222222222222,74.07407407407408,0.29071803852889666,0.35051546391752586
6,0.2810337245464325,0.096,1.1514016091823578,53.030303955078125,0.38702290076335877,,,1.390922874212265,65.94203186035156,0.5200287838810267,,,0.3619248569011688,48.14814758300781,0.365771812080537,,,0.20083463191986084,77.77777862548828,0.5573770491803279,,,,,0,48.148148148148145,51.85185185185185,0.49169435215946844,0.24999999999999978,,,,,0,22.22222222222222,70.37037037037037,0.29071803852889666,0.368421052631579
7,0.2820448577404022,0.09,1.1511112451553345,53.030303955078125,0.38702290076335877,,,1.3907573819160461,65.94203186035156,0.5200287838810267,,,0.36198246479034424,48.14814758300781,0.365771812080537,,,0.2009403258562088,77.77777862548828,0.5573770491803279,,,,,0,48.148148148148145,51.85185185185185,0.49169435215946844,0.24999999999999978,,,,,0,22.22222222222222,70.37037037037037,0.29071803852889666,0.368421052631579
8,0.2612451910972595,0.092,1.1511224508285522,53.030303955078125,0.38702290076335877,,,1.3907216787338257,65.94203186035156,0.5200287838810267,,,0.36203792691230774,48.14814758300781,0.365771812080537,,,0.20093630254268646,77.77777862548828,0.5573770491803279,,,,,0,48.148148148148145,51.85185185185185,0.49169435215946844,0.24999999999999978,,,,,0,22.22222222222222,70.37037037037037,0.29071803852889666,0.368421052631579
9,0.2733060121536255,0.1,1.1511317789554596,53.030303955078125,0.38702290076335877,,,1.3906809985637665,65.94203186035156,0.5200287838810267,,,0.36209550499916077,48.14814758300781,0.365771812080537,,,0.2009316235780716,77.77777862548828,0.5573770491803279,,,,,0,48.148148148148145,51.85185185185185,0.49169435215946844,0.24999999999999978,,,,,0,22.22222222222222,70.37037037037037,0.29071803852889666,0.368421052631579
