epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,concordancia_validation,y,y_hat,loss_test,test_acc,test_qwk,concordancia_test
0,,,,,,,,,1.3771048188209534,5.7971014976501465,-0.03370786516853941,-1
1,0.37020841240882874,-1,0.9917382299900055,51.51515197753906,0.44080433800271124,-1,"[4, 4, 4, 4, 4, 3, 5, 3, 3, 3, 3, 4, 3, 3, 3, 3, 2, 4, 4, 4, 3, 3, 4, 4, 5, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 5, 4, 2, 5, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 2, 5, 4, 2, 3, 4, 3, 5, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 3, 3, 4, 3, 2, 3, 3, 0, 2, 3, 5, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 5, 4, 4, 2, 5, 4, 4, 5, 4, 2, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 2]","[3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3]",0.871626079082489,68.840576171875,0.5397727272727273,-1
2,0.22003482282161713,-1,1.0073706209659576,59.84848403930664,0.46684350132625996,-1,"[4, 3, 4, 2, 4, 3, 5, 3, 3, 4, 5, 4, 4, 4, 4, 4, 2, 5, 0, 4, 4, 4, 4, 3, 3, 3, 4, 4, 2, 4, 3, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 5, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4, 3, 3, 4, 5, 3, 5, 3, 4, 3, 5, 4, 3, 2, 3, 2, 4, 3, 3, 4, 3, 3, 2, 5, 3, 3, 2, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 5, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 4, 3, 3, 2, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 5, 3, 3, 4, 4, 2, 3]","[4, 3, 4, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3]",0.8276597708463669,73.91304016113281,0.6310160427807487,-1
3,0.18642443418502808,-1,0.8216005265712738,59.09090805053711,0.4749082007343941,-1,"[4, 3, 3, 3, 4, 4, 3, 5, 3, 2, 3, 4, 3, 3, 2, 4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 2, 3, 3, 2, 4, 3, 2, 3, 3, 4, 3, 4, 2, 4, 3, 4, 2, 4, 4, 4, 3, 5, 4, 3, 5, 5, 3, 4, 5, 4, 4, 5, 3, 5, 3, 3, 4, 3, 4, 4, 3, 5, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 4, 5, 3, 3, 3, 3, 4, 3, 0, 4, 3, 5, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 2, 4, 4, 4, 3]","[4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4]",0.7267786413431168,73.91304016113281,0.6310160427807487,-1
4,0.16786472499370575,-1,0.8366825878620148,62.878787994384766,0.5848581884720951,-1,"[3, 3, 4, 3, 3, 3, 2, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 5, 3, 4, 4, 4, 4, 3, 5, 4, 3, 3, 3, 3, 4, 3, 3, 4, 5, 3, 5, 3, 3, 4, 2, 3, 4, 2, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 2, 3, 3, 3, 4, 4, 3, 2, 3, 4, 4, 3, 4, 5, 2, 3, 3, 3, 5, 4, 2, 5, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 4, 3, 5, 4, 4, 3, 4, 3, 2, 2, 3, 4, 0, 3, 4, 4, 3, 4, 3, 3, 5, 3, 3, 4, 3, 4, 5, 3, 2, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3]","[3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4, 2, 3, 4, 2, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 3, 2, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 2, 3, 2, 3, 4, 3, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 2, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3]",0.6337149143218994,73.18840789794922,0.6288659793814433,-1
5,0.18980373442173004,-1,0.7437278479337692,55.30303192138672,0.5530318816420089,-1,,,0.6578534543514252,73.91304016113281,0.624101111353236,-1
6,0.1907585859298706,-1,0.7178974747657776,56.818180084228516,0.5338792221084954,-1,,,0.8283741325139999,72.4637680053711,0.629950495049505,-1
7,0.055824536830186844,-1,0.8983318209648132,59.84848403930664,0.6450438523911964,-1,"[4, 3, 4, 3, 3, 5, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 5, 4, 3, 4, 4, 3, 4, 3, 3, 3, 5, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 5, 4, 3, 4, 3, 4, 3, 5, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 2, 2, 4, 3, 4, 4, 4, 3, 2, 2, 4, 3, 4, 3, 0, 4, 4, 3, 3, 3, 2, 3, 4, 5, 5, 3, 4, 4, 3, 4, 3, 4, 3, 2, 3, 4, 3, 2, 3, 3, 3, 3, 3, 5, 5, 4, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 2, 4, 5, 4, 3, 4, 4, 3, 3, 2, 3, 4, 3, 3, 3, 4]","[4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 2, 5, 4, 4, 5, 4, 3, 4, 3, 3, 3, 5, 4, 5, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 2, 4, 5, 3, 4, 4, 3, 5, 4, 3, 4, 2, 4, 4, 3, 3, 5, 5, 4, 2, 3, 4, 4, 4, 4, 3, 4, 4, 4, 4, 3, 2, 4, 4, 4, 5, 3, 5, 4, 3, 4, 3, 5, 3, 3, 4, 5, 3, 3, 3, 4, 3, 4, 3, 4, 5, 4, 4, 4, 3, 3, 3, 5, 4, 3, 4, 4, 3, 4, 3, 3, 5, 3, 3, 4, 3, 5, 5, 4, 4, 5, 5, 3, 3, 3, 4, 4, 2, 4, 3, 5]",0.8032692223787308,60.869564056396484,0.6164786660127514,-1
8,0.1398579329252243,-1,0.745409369468689,60.60606002807617,0.620475113122172,-1,,,0.6920149624347687,68.1159439086914,0.6099415204678362,-1
9,0.1362239569425583,-1,0.6757247671484947,60.60606002807617,0.5801367261678694,-1,,,0.8887220770120621,53.62318801879883,0.5375494071146245,-1
