epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3]",1.4416489899158478,18.115942001342773,-0.04368108566581852
1,0.418013334274292,0.0,1.302867442369461,24.24242401123047,0.168443818529323,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 1, 0, 3, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 0, 3, 1, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 3, 1, 0, 1, 1, 3, 1, 3, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1.3030680119991302,23.188405990600586,0.16454323664949844
2,0.38487720489501953,0.008,1.221637636423111,32.57575607299805,0.18354872511351727,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 3, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 0, 3, 1, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 1, 0, 0, 1, 0, 1, 1, 3, 1, 0, 0, 1, 3, 1, 3, 0, 0, 1, 1, 0, 1, 3, 1, 1, 1, 0, 1, 1, 0, 3, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1.2572228014469147,23.188405990600586,0.2032752337884708
3,0.40771934390068054,0.022,1.17191544175148,31.81818199157715,0.17970660146699258,,,1.2238447666168213,26.086956024169922,0.23166075811289866
4,0.41396889090538025,0.058,1.1236414909362793,36.3636360168457,0.24496447428459678,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 1, 0, 3, 1, 0, 3, 0, 1, 1, 1, 1, 0, 0, 3, 3, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 0, 1, 1, 0, 3, 1, 1, 1, 3, 1, 0, 0, 1, 3, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 3, 0, 1, 3, 1, 1, 1, 3, 0, 1, 1, 3, 1, 1, 0, 0, 3, 1, 3, 0, 0, 1, 1, 0, 1, 3, 0, 1, 1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]",1.2039830088615417,26.086956024169922,0.2672159253262215
5,0.39987874031066895,0.128,1.1013003885746002,40.90909194946289,0.38367931281317114,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 1, 0, 3, 3, 0, 3, 0, 1, 1, 3, 1, 0, 0, 3, 3, 1, 1, 0, 1, 3, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 1, 3, 0, 1, 3, 0, 3, 1, 1, 1, 3, 1, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 3, 3, 1, 1, 0, 1, 3, 1, 1, 0, 0, 0, 1, 3, 3, 0, 3, 3, 1, 3, 1, 3, 0, 1, 0, 3, 1, 3, 0, 0, 3, 1, 3, 0, 0, 1, 1, 0, 1, 3, 0, 1, 1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 1, 1, 1, 3, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",1.1872896254062653,28.98550796508789,0.34690950810268173
6,0.4104248583316803,0.164,1.0845785439014435,39.39393997192383,0.3662222808870116,,,1.1869629919528961,28.98550796508789,0.34690950810268173
7,0.4493916928768158,0.222,1.0820174515247345,40.90909194946289,0.40962503300765774,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 3, 3, 1, 1, 0, 3, 3, 0, 3, 0, 1, 3, 3, 3, 0, 0, 3, 3, 1, 1, 0, 1, 3, 1, 0, 2, 1, 3, 3, 2, 3, 0, 1, 1, 3, 1, 3, 0, 1, 3, 0, 3, 1, 1, 2, 3, 1, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 2, 1, 1, 0, 3, 3, 1, 3, 0, 1, 3, 2, 1, 0, 0, 0, 2, 3, 3, 0, 3, 3, 1, 3, 1, 3, 0, 1, 0, 3, 1, 3, 0, 0, 3, 1, 3, 0, 0, 3, 3, 0, 3, 3, 0, 1, 3, 0, 3, 1, 0, 3, 1, 0, 3, 1, 1, 1, 3, 3, 2, 1, 3, 0, 1, 1, 0, 3, 2, 0, 0, 0, 0, 0, 1]",1.191737562417984,27.536231994628906,0.41383908727218843
8,0.43642115592956543,0.222,1.0693250596523285,40.15151596069336,0.40996450813634233,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 3, 3, 1, 1, 0, 3, 3, 0, 3, 0, 2, 3, 3, 3, 0, 0, 3, 3, 1, 1, 0, 1, 3, 1, 0, 2, 1, 2, 2, 2, 2, 0, 1, 1, 3, 1, 3, 0, 1, 3, 0, 3, 1, 1, 2, 3, 3, 0, 0, 3, 3, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2, 1, 0, 3, 3, 1, 3, 0, 1, 3, 2, 1, 0, 0, 0, 2, 3, 3, 0, 3, 3, 3, 3, 1, 3, 0, 1, 1, 3, 1, 3, 0, 0, 3, 1, 3, 0, 0, 3, 3, 0, 2, 3, 0, 1, 2, 0, 3, 1, 0, 3, 1, 0, 3, 1, 1, 1, 3, 3, 2, 1, 3, 0, 1, 1, 1, 3, 2, 0, 0, 0, 0, 0, 1]",1.1971831619739532,26.086956024169922,0.40933036166548475
9,0.43148061633110046,0.236,1.0581602156162262,41.66666793823242,0.46511960014280607,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 3, 3, 1, 1, 1, 3, 3, 0, 3, 0, 2, 3, 3, 3, 0, 0, 3, 3, 1, 3, 0, 1, 3, 1, 0, 2, 1, 2, 2, 2, 2, 0, 3, 1, 3, 1, 3, 1, 1, 3, 0, 3, 1, 1, 2, 3, 3, 0, 2, 3, 3, 2, 3, 0, 1, 2, 0, 3, 1, 2, 0, 2, 2, 1, 1, 3, 3, 1, 3, 2, 1, 3, 2, 1, 0, 0, 0, 2, 3, 3, 0, 3, 3, 3, 3, 1, 3, 0, 1, 1, 3, 1, 3, 0, 1, 3, 1, 3, 1, 1, 3, 3, 1, 2, 3, 1, 3, 2, 1, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 2, 2, 3, 0, 1, 2, 1, 3, 2, 3, 1, 0, 1, 0, 1]",1.2348062098026276,27.536231994628906,0.38880741479439196
