epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.4421124756336212,23.188405990600586,0.0
1,0.38904425501823425,0.0,1.2728295922279358,20.454545974731445,0.08462138953942233,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 4, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 4, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",1.2906519770622253,22.463768005371094,0.07692307692307698
2,0.3755201995372772,0.0,1.1984970271587372,32.57575607299805,0.14307535641547864,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 3, 0, 0, 1, 1, 1, 0, 0, 3, 3, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 3, 0, 1, 3, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 1, 0, 0, 1, 0, 1, 1, 3, 1, 0, 0, 1, 3, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 3, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1.253954827785492,23.188405990600586,0.179040259911314
3,0.3670494258403778,0.0,1.1564057767391205,30.303030014038086,0.1504348326902033,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 1, 0, 1, 1, 0, 3, 0, 3, 1, 1, 1, 0, 0, 3, 3, 1, 1, 0, 1, 1, 1, 0, 3, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 3, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 3, 1, 0, 1, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 3, 1, 2, 1, 1, 0, 1, 0, 3, 1, 0, 0, 0, 3, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 3, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 3, 0, 0, 0, 0, 0, 1]",1.224818229675293,24.63768196105957,0.152029826014913
4,0.3662731349468231,0.0,1.1053021848201752,36.3636360168457,0.34630719574710456,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 3, 1, 0, 1, 3, 0, 3, 0, 3, 2, 1, 1, 0, 0, 3, 3, 1, 1, 0, 1, 1, 1, 0, 3, 1, 1, 1, 2, 3, 0, 1, 2, 3, 1, 3, 0, 1, 3, 0, 3, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 3, 3, 1, 0, 3, 2, 3, 2, 0, 1, 1, 1, 1, 0, 0, 0, 2, 2, 1, 0, 3, 3, 1, 2, 1, 1, 0, 1, 1, 3, 1, 2, 0, 0, 3, 1, 1, 0, 0, 1, 1, 0, 3, 1, 0, 1, 1, 0, 3, 1, 0, 3, 1, 0, 3, 2, 1, 2, 1, 3, 3, 3, 1, 0, 1, 3, 1, 1, 3, 0, 0, 0, 0, 0, 2]",1.211010903120041,21.01449203491211,0.27357651245551595
5,0.38474252820014954,0.0,1.0852200090885162,35.60606002807617,0.38585607940446653,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 3, 3, 3, 2, 0, 1, 3, 0, 3, 0, 3, 2, 1, 1, 0, 0, 3, 3, 1, 1, 0, 1, 1, 1, 0, 3, 1, 1, 1, 2, 3, 0, 1, 1, 3, 2, 3, 0, 1, 3, 0, 3, 1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 3, 3, 1, 0, 3, 2, 3, 2, 0, 2, 1, 1, 1, 0, 0, 0, 2, 2, 1, 0, 3, 3, 1, 2, 1, 1, 0, 1, 0, 3, 1, 2, 0, 0, 3, 1, 1, 0, 0, 3, 1, 0, 3, 2, 0, 1, 1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 2, 2, 1, 3, 3, 3, 1, 0, 1, 3, 0, 1, 3, 0, 0, 0, 0, 0, 2]",1.1963641345500946,21.7391300201416,0.2805040770941438
6,0.39948341250419617,0.008,1.0758022964000702,37.878787994384766,0.39119055218640286,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 3, 2, 0, 1, 3, 0, 3, 0, 3, 2, 1, 1, 0, 0, 2, 3, 2, 1, 0, 1, 1, 2, 0, 3, 1, 1, 1, 2, 1, 0, 1, 1, 3, 2, 3, 0, 1, 3, 0, 3, 1, 1, 1, 1, 1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 3, 1, 0, 3, 2, 3, 2, 0, 1, 1, 1, 1, 0, 0, 0, 2, 2, 1, 0, 3, 4, 1, 2, 1, 1, 0, 1, 0, 3, 1, 2, 0, 0, 3, 1, 1, 0, 0, 1, 1, 0, 1, 2, 0, 1, 1, 0, 3, 1, 0, 2, 1, 0, 4, 1, 1, 2, 1, 3, 2, 3, 1, 0, 1, 3, 0, 1, 3, 0, 0, 0, 0, 0, 2]",1.205347865819931,21.7391300201416,0.2665327716273146
7,0.3973599374294281,0.02,1.0655285716056824,34.09090805053711,0.47713433577730824,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 3, 3, 3, 2, 0, 1, 3, 0, 3, 0, 3, 3, 1, 1, 0, 0, 3, 3, 3, 1, 0, 1, 2, 3, 0, 3, 1, 1, 3, 2, 3, 0, 2, 1, 3, 2, 3, 0, 2, 4, 0, 3, 1, 1, 1, 1, 3, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 3, 0, 3, 3, 2, 0, 4, 2, 3, 3, 0, 2, 2, 1, 1, 0, 0, 0, 2, 3, 1, 0, 3, 4, 3, 2, 1, 1, 0, 1, 0, 3, 1, 3, 0, 0, 3, 1, 1, 0, 0, 3, 1, 0, 3, 2, 0, 2, 1, 0, 3, 1, 0, 3, 1, 0, 4, 1, 2, 3, 1, 3, 3, 3, 1, 0, 1, 3, 0, 1, 3, 0, 0, 0, 0, 0, 3]",1.2017894387245178,23.913043975830078,0.3487045867951427
8,0.40705302357673645,0.044,1.0589927732944489,34.84848403930664,0.4353328598179118,,,1.2160850763320923,23.188405990600586,0.3432919381107492
9,0.45228445529937744,0.072,1.0424368977546692,37.878787994384766,0.5103326783657429,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 3, 2, 3, 2, 3, 1, 3, 0, 3, 0, 3, 3, 1, 1, 0, 0, 2, 3, 2, 1, 0, 1, 2, 2, 0, 3, 1, 1, 3, 2, 1, 0, 2, 1, 3, 2, 2, 3, 2, 3, 0, 3, 1, 1, 1, 1, 2, 0, 2, 1, 2, 1, 1, 0, 1, 2, 0, 3, 1, 3, 0, 2, 3, 2, 1, 3, 2, 3, 3, 1, 2, 2, 1, 1, 0, 0, 0, 2, 3, 1, 0, 3, 4, 2, 2, 1, 2, 0, 1, 1, 3, 1, 3, 0, 1, 3, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 2, 1, 3, 4, 1, 2, 2, 1, 3, 2, 3, 2, 0, 1, 3, 1, 1, 3, 3, 1, 0, 1, 0, 2]",1.2551458477973938,26.811594009399414,0.2649692712906059
