epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",448.7538614720106,14.439141273498535,0.0
1,0.43346989154815674,0.061124694376528114,169.22380735725164,29.882352828979492,0.2864007688611244,"[1, 1, 2, 2, 1, 2, 1, 3, 1, 2, 2, 2, 1, 2, 2, 3, 1, 1, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 1, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 0, 2, 2, 2, 2, 1, 2, 2, 1, 1, 2, 0, 2, 2, 2, 3, 0, 1, 2, 2, 2, 1, 1, 0, 1, 1, 2, 1, 2, 2, 0, 2, 1, 2, 1, 1, 2, 0, 1, 2, 2, 0, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 0, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 2, 2, 0, 0, 0, 2]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",355.2304212078452,27.804296493530273,0.2720223719333926
2,0.4611194133758545,0.07946210268948656,168.2124264538288,30.58823585510254,0.45856634468734125,"[1, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 2, 1, 3, 2, 3, 1, 1, 2, 2, 0, 2, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 1, 3, 3, 1, 2, 1, 2, 1, 2, 2, 1, 3, 3, 3, 1, 2, 1, 1, 3, 1, 2, 1, 1, 3, 2, 1, 3, 0, 3, 3, 3, 3, 1, 2, 2, 1, 1, 2, 0, 2, 2, 2, 3, 0, 2, 3, 2, 3, 1, 1, 0, 1, 1, 2, 1, 2, 1, 0, 3, 1, 2, 1, 1, 3, 0, 1, 2, 3, 0, 2, 2, 3, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 0, 3, 1, 2, 1, 2, 1, 2, 1, 3, 1, 2, 3, 0, 0, 0, 2]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",356.3777003213763,25.298330307006836,0.4077349140025265
3,0.46073877811431885,0.10574572127139364,167.9085859656334,27.52941131591797,0.3455266637285147,,,354.34758166223764,23.03102684020996,0.22312858712907557
4,0.4234154224395752,0.10819070904645477,165.74143101274967,33.64706039428711,0.4888783719829627,"[1, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 2, 1, 3, 3, 3, 1, 1, 2, 2, 0, 2, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 3, 2, 2, 2, 3, 3, 2, 1, 3, 3, 1, 2, 1, 2, 1, 2, 3, 1, 3, 3, 3, 1, 2, 1, 1, 3, 1, 0, 1, 1, 3, 2, 1, 3, 0, 3, 3, 3, 3, 1, 2, 2, 1, 1, 2, 0, 2, 2, 3, 3, 0, 2, 3, 3, 3, 1, 1, 0, 1, 1, 3, 1, 3, 3, 1, 2, 1, 2, 1, 1, 3, 0, 1, 2, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 3, 2, 2, 2, 0, 3, 1, 2, 1, 3, 2, 2, 1, 3, 1, 3, 3, 0, 0, 0, 3]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",351.51092145591974,27.088306427001953,0.4203173785688995
5,0.4363231658935547,0.10330073349633252,166.2207341864705,34.35293960571289,0.49268522888154787,"[1, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 2, 1, 3, 3, 3, 1, 1, 2, 2, 0, 2, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 3, 0, 2, 2, 3, 3, 2, 1, 3, 3, 1, 2, 1, 2, 1, 2, 3, 1, 3, 3, 3, 1, 2, 1, 1, 3, 1, 0, 1, 1, 3, 2, 1, 3, 0, 3, 3, 3, 3, 1, 2, 2, 1, 1, 2, 0, 0, 2, 3, 3, 0, 2, 3, 3, 3, 1, 1, 0, 1, 1, 3, 1, 3, 3, 1, 2, 1, 2, 1, 1, 3, 0, 1, 2, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 3, 2, 2, 2, 0, 3, 1, 2, 1, 3, 3, 2, 1, 3, 1, 3, 3, 0, 0, 0, 3]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",350.80021458119154,26.96897315979004,0.42199407948604906
6,0.43564602732658386,0.10513447432762836,168.04349422454834,33.411766052246094,0.5106888361045132,"[1, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 2, 1, 3, 3, 4, 1, 1, 2, 2, 0, 2, 0, 1, 2, 0, 0, 1, 1, 2, 1, 2, 3, 0, 2, 2, 3, 3, 2, 1, 3, 3, 1, 2, 1, 2, 1, 2, 3, 1, 2, 3, 3, 1, 2, 1, 1, 2, 1, 0, 1, 1, 3, 2, 1, 2, 0, 3, 3, 3, 3, 1, 2, 2, 1, 1, 2, 0, 0, 2, 3, 3, 0, 2, 3, 3, 3, 1, 1, 0, 1, 1, 3, 1, 3, 3, 1, 3, 1, 2, 1, 1, 3, 0, 1, 2, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 3, 2, 2, 2, 0, 3, 1, 2, 1, 3, 3, 2, 1, 4, 1, 3, 3, 0, 0, 0, 3]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",351.1504294797778,27.207637786865234,0.42266625039025907
7,0.43426278233528137,0.10268948655256724,168.42723432928324,33.411766052246094,0.4781609195402299,,,351.6802683696151,26.25298309326172,0.4196604446111998
8,0.4382319152355194,0.10574572127139364,168.78272276371717,31.058822631835938,0.42575145805293857,,,352.6988771632314,26.25298309326172,0.41485315208580165
9,0.42742323875427246,0.10513447432762836,170.22440230846405,29.882352828979492,0.42805265546981386,,,350.5856114923954,27.923627853393555,0.42380862686004905
