epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",67.51278576254845,15.942028999328613,0.0
1,0.4223341941833496,0.134,55.2277767509222,28.787878036499023,0.09057301293900188,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",59.18604955077171,27.536231994628906,0.08849331837192698
2,0.4168144464492798,0.058,53.53638396412134,27.272727966308594,0.26303410427283413,"[1, 0, 1, 3, 3, 3, 1, 3, 2, 0, 2, 2, 1, 2, 3, 3, 1, 0, 2, 2, 0, 3, 0, 0, 2, 0, 0, 1, 1, 2, 1, 2, 3, 2, 3, 2, 3, 3, 2, 1, 1, 3, 0, 3, 1, 2, 1, 1, 3, 1, 2, 3, 2, 1, 3, 0, 1, 2, 0, 2, 0, 1, 2, 2, 1, 3, 0, 3, 2, 3, 1, 0, 0, 2, 0, 0, 1, 0, 2, 2, 3, 3, 0, 2, 3, 3, 2, 1, 1, 0, 1, 0, 3, 1, 3, 1, 0, 3, 1, 2, 0, 1, 1, 0, 1, 3, 2, 0, 2, 1, 2, 2, 0, 1, 1, 2, 0, 2, 2, 2, 2, 0, 3, 2, 2, 1, 2, 1, 2, 0, 3, 0, 2, 3, 0, 0, 0, 1]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",58.090717509388924,24.63768196105957,0.439994421977409
3,0.42953944206237793,0.06,53.55442729592323,31.81818199157715,0.33008526187576126,"[1, 0, 2, 3, 3, 3, 1, 3, 1, 0, 2, 2, 1, 2, 3, 3, 1, 0, 1, 2, 0, 3, 0, 0, 2, 0, 0, 1, 1, 1, 1, 2, 3, 2, 3, 2, 2, 3, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 2, 1, 2, 3, 2, 1, 3, 0, 1, 2, 1, 0, 0, 1, 0, 2, 1, 2, 0, 3, 2, 3, 2, 0, 0, 2, 1, 1, 0, 0, 2, 2, 0, 3, 0, 2, 3, 2, 2, 1, 1, 0, 1, 1, 2, 1, 2, 0, 0, 2, 1, 2, 0, 1, 2, 0, 1, 3, 2, 0, 2, 1, 2, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 0, 3, 1, 1, 1, 2, 1, 1, 0, 3, 1, 0, 2, 0, 0, 0, 2]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",58.04184862971306,27.536231994628906,0.40627950260297263
4,0.41634872555732727,0.064,53.43998195976019,33.33333206176758,0.26143024618991795,,,58.21322464942932,28.2608699798584,0.398688899872532
5,0.44984400272369385,0.086,54.175780922174454,30.303030014038086,0.24604634056638464,,,58.42047256231308,30.434782028198242,0.387359462015341
6,0.4288593828678131,0.102,54.8923008069396,27.272727966308594,0.23284893545116603,,,58.315228670835495,28.98550796508789,0.35865113427345185
7,0.4074486494064331,0.108,53.736236713826656,25.75757598876953,0.3798737467508355,"[0, 1, 2, 3, 3, 3, 0, 3, 2, 0, 2, 2, 1, 2, 3, 3, 1, 0, 2, 2, 0, 3, 0, 0, 2, 0, 0, 1, 1, 2, 1, 1, 3, 0, 3, 2, 3, 3, 2, 0, 2, 3, 1, 2, 3, 2, 1, 1, 2, 1, 2, 3, 2, 1, 3, 1, 1, 2, 1, 0, 0, 1, 2, 2, 1, 2, 0, 3, 2, 3, 2, 1, 2, 2, 1, 1, 1, 0, 0, 2, 2, 3, 0, 2, 3, 2, 2, 1, 1, 0, 1, 1, 2, 1, 2, 1, 0, 2, 1, 2, 0, 1, 2, 0, 1, 3, 2, 0, 2, 1, 2, 2, 0, 1, 2, 2, 1, 2, 2, 1, 0, 0, 3, 3, 2, 1, 2, 3, 1, 0, 3, 1, 2, 2, 0, 0, 0, 2]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",57.18307541310787,25.36231803894043,0.4776214648295867
8,0.4518040120601654,0.106,53.49875245988369,28.787878036499023,0.3772102161100196,,,57.74223478883505,30.434782028198242,0.39908160033780227
9,0.44285354018211365,0.12,53.5689487606287,27.272727966308594,0.37524328532502926,,,57.613930232822895,26.811594009399414,0.44228665937525
10,0.4631692171096802,0.114,54.105477802455425,29.545454025268555,0.4155114275009366,"[0, 1, 1, 3, 3, 3, 0, 3, 2, 0, 1, 2, 1, 1, 3, 3, 1, 0, 2, 2, 0, 3, 0, 0, 2, 0, 0, 1, 2, 2, 1, 1, 3, 0, 3, 2, 3, 3, 2, 0, 2, 4, 1, 3, 3, 2, 0, 1, 1, 1, 2, 3, 1, 1, 3, 1, 1, 1, 1, 0, 0, 1, 1, 3, 1, 2, 0, 3, 1, 3, 1, 1, 1, 2, 0, 1, 1, 0, 0, 1, 1, 3, 0, 2, 3, 1, 2, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 2, 2, 2, 1, 1, 1, 0, 3, 3, 1, 0, 2, 2, 1, 2, 0, 1, 2, 2, 1, 1, 2, 1, 0, 0, 3, 3, 2, 1, 1, 3, 2, 0, 3, 1, 1, 2, 0, 0, 0, 1]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",57.274982929229736,23.188405990600586,0.4471632741446513
11,0.45702290534973145,0.104,55.378691121935844,28.030303955078125,0.34247119586809693,,,58.75739971548319,23.913043975830078,0.42762887726886945
12,0.4699368178844452,0.108,54.797434229403734,29.545454025268555,0.4369778423537959,"[0, 1, 2, 3, 4, 4, 0, 3, 2, 0, 2, 2, 1, 1, 3, 3, 1, 0, 2, 4, 0, 3, 0, 0, 2, 1, 1, 1, 2, 2, 1, 1, 3, 0, 3, 2, 3, 3, 2, 0, 2, 4, 1, 3, 3, 2, 1, 3, 2, 1, 2, 3, 2, 1, 3, 1, 1, 2, 2, 0, 0, 1, 0, 3, 1, 2, 0, 3, 2, 4, 1, 1, 2, 2, 0, 1, 2, 0, 0, 2, 1, 4, 0, 2, 4, 2, 2, 0, 1, 0, 1, 1, 2, 1, 1, 0, 0, 2, 2, 2, 0, 1, 2, 0, 3, 3, 2, 0, 2, 2, 2, 2, 0, 1, 4, 2, 0, 0, 2, 1, 0, 0, 3, 3, 2, 1, 1, 3, 2, 1, 4, 1, 2, 2, 1, 0, 0, 1]","[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]",57.55780439823866,22.463768005371094,0.44994577006507586
13,0.45850756764411926,0.106,54.86031585559249,34.84848403930664,0.40802542709574896,,,57.84332425519824,23.913043975830078,0.4577562942973221
14,0.4700314998626709,0.112,55.69023164361715,28.787878036499023,0.323943661971831,,,59.72412195056677,22.463768005371094,0.3936660769699255
15,0.48956599831581116,0.1,58.32070718705654,29.545454025268555,0.35615928544845565,,,58.38880480825901,25.36231803894043,0.5329021295255845
16,0.48694750666618347,0.108,57.404811734333634,33.33333206176758,0.4287548138639281,,,60.778943955898285,18.840579986572266,0.41699491836305136
17,0.36025235056877136,0.114,59.91018154285848,31.060606002807617,0.36540854417254254,,,61.77905345708132,17.39130401611328,0.37928323968674493
18,0.4950793981552124,0.122,63.03155627287924,31.81818199157715,0.3638435244967718,,,62.74326495826244,19.565217971801758,0.4794186175524242
19,0.4984252452850342,0.104,60.55269560031593,33.33333206176758,0.4279749478079332,,,62.0205747410655,22.463768005371094,0.45772803048344857
20,0.5102918744087219,0.104,61.081924135796726,30.303030014038086,0.42757488715633984,,,63.38299521803856,23.188405990600586,0.4424118639552437
21,0.5528213381767273,0.098,61.20370495505631,31.060606002807617,0.38503721112416767,,,63.197325412184,26.811594009399414,0.4939619520264682
22,0.5415092706680298,0.098,63.749410203658044,34.09090805053711,0.41636582430806257,,,64.48551860079169,23.188405990600586,0.4883815973843998
23,0.5225887894630432,0.108,65.52557746972889,33.33333206176758,0.3697646589549263,,,66.56965463422239,23.913043975830078,0.44448823330706
24,0.6000890135765076,0.1,67.57749390043318,30.303030014038086,0.38522954091816375,,,68.17008824273944,21.7391300201416,0.37903268249039523
25,0.5459952354431152,0.102,64.36582633387297,34.09090805053711,0.4267258780783205,,,66.90216416865587,23.913043975830078,0.4148623051143815
26,0.48655328154563904,0.112,66.40335400030017,34.09090805053711,0.3616161616161616,,,68.4101434815675,23.913043975830078,0.4261061446192147
