epoca,loss_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[2, 2, 4, 4, 4, 4, 2, 0, 4, 4, 4, 4, 1, 4, 4, 4, 1, 1, 4, 4, 1, 4, 4, 4, 2, 4, 4, 2, 4, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 1, 4, 0, 4, 2, 4, 4, 1, 4, 4, 4, 1, 4, 2, 1, 4, 2, 4, 1, 2, 4, 4, 1, 4, 4, 4, 4, 0, 4, 1, 2, 2, 2, 2, 2, 4, 4, 2, 4, 2, 4, 4, 4, 4, 4, 1, 1, 4, 1, 1, 4, 2, 4, 2, 1, 4, 4, 4, 1, 1, 4, 4, 0, 2, 4, 1, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4, 4, 2, 4, 4, 4, 4, 4, 2, 4, 1, 4, 1, 4, 2, 4, 4, 4, 4, 4, 4]",6.228216528892517,26.014320373535156,0.1175035025082477
1,0.4200878441333771,2.8890002965927124,33.411766052246094,0.44444444444444453,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[3, 1, 0, 3, 0, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 3, 1, 0, 3, 1, 0, 3, 0, 0, 3, 0, 0, 1, 0, 3, 1, 0, 3, 1, 3, 3, 0, 0, 3, 0, 0, 0, 1, 3, 0, 3, 0, 0, 0, 1, 3, 0, 0, 1, 3, 0, 1, 3, 0, 0, 0, 1, 0, 3, 1, 3, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 3, 3, 0, 0, 3, 0, 3, 0, 3, 3, 3, 0, 0, 1, 3, 0, 3, 1, 0, 0, 0, 0, 0, 0]",6.000698804855347,24.4630069732666,0.15182169917781707
2,0.42864787578582764,2.8207432627677917,39.05882263183594,0.4684796044499382,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 1, 1, 3, 3, 1, 1, 1, 3, 0, 3, 3, 1, 0, 1, 3, 1, 1, 3, 3, 0, 3, 0, 0, 3, 0, 0, 1, 1, 3, 1, 3, 3, 0, 3, 3, 1, 1, 3, 1, 1, 0, 1, 3, 1, 3, 1, 3, 1, 1, 3, 1, 0, 1, 3, 1, 1, 3, 1, 0, 1, 1, 0, 1, 1, 3, 0, 0, 1, 3, 0, 1, 0, 3, 1, 1, 0, 0, 3, 3, 1, 1, 0, 3, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 3, 3, 1, 1, 1, 0, 1, 0, 0, 0, 3, 3, 1, 3, 0, 1, 3, 3, 1, 0, 3, 0, 3, 0, 3, 3, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 0, 0, 0, 1]",5.919682592153549,26.491647720336914,0.27718452758402046
3,0.4498382806777954,2.794914036989212,38.117645263671875,0.4028629856850716,,,5.791488617658615,27.565631866455078,0.3651906487007741
4,0.5955038666725159,2.7393298149108887,38.82352828979492,0.5759025663331885,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 0, 3, 3, 0, 3, 0, 0, 3, 0, 0, 1, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3, 1, 1, 3, 1, 0, 1, 1, 3, 3, 1, 3, 0, 3, 3, 3, 3, 1, 3, 3, 1, 1, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 3, 1, 1, 0, 1, 1, 3, 1, 3, 3, 0, 3, 3, 3, 1, 0, 3, 0, 1, 3, 3, 0, 3, 3, 3, 3, 0, 0, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3, 0, 0, 0, 3]",5.69584459066391,28.758949279785156,0.46067121894522733
5,0.4868420660495758,2.7569904029369354,39.05882263183594,0.47048974466303894,,,5.716091215610504,27.207637786865234,0.38947787963332003
6,0.4971916973590851,2.760457068681717,35.52941131591797,0.43419434194341944,,,5.699371874332428,26.372314453125,0.3982289011136456
7,0.4750998020172119,2.7405246198177338,36.47058868408203,0.5399040558220671,,,5.665883511304855,28.87828254699707,0.4894729324382231
8,0.4743407964706421,2.768160581588745,33.64706039428711,0.48610498456109397,,,5.721615701913834,27.326969146728516,0.4631664853101196
9,0.4304719865322113,2.796486586332321,33.64706039428711,0.40085287846481876,,,5.759246081113815,24.821002960205078,0.39652173913043476
