id redação,id prompt,redação,Sintaxe,Desvios,nota,Tema,Tipologia,Conclusão,Repertório,Pertinencia,Uso produtivo?,nota,Direção,Projeto de Texto,"Informações, fatos e opiniões",Contradição,nota,Elementos coesivos,Repetições,Inadequações,Monobloco?,nota,Direitos humanos,Aderência,Elementos,Condicional,nota
103.html,a-cultura-do-cancelamento-nas-redes-sociais,"['Infelizmente muitos usuários anônimos, julgam-se sábios, o suficiente ao ponto de opinar, sobre a vida de algo ou alguém,que na maioria dos casos, não se tem argumentos válidos ou concretos, sobre a situação que se ocorre ou que já ocorreu. ', 'Muitos internautas deixam se levar, por fake news, histórias sem começo,ou fim, sempre faltando algo,ao ponto de terem zero compreendimento do tal assunto,algo,etc. É muito compreensível, a falta de vontade de procurar ou pesquisar, para poder ter um argumento. ', 'Logo,os famosos,artistas de ruas,ou até mesmo pessoas simples que ganham fama por memes,nas quais que muitas das vezes contém verdades das quais jornais,sites que informam as populações, não tem certeza do que ocorreu e mesmo assim , querem ganhar fama em cima de assuntos trágicos ou até mesmo mal interpretado,seja, a uma grande população,como São Paulo,ou de até vilas ou aldeias. ', 'Nem sempre os tais influenciadores digitais ou celebridades famosas novas ou antigas, se tem total noção ou senso,ao ponto de defender ou capacidade de fala,por si só.E conforme não se tem projetos,palestras, que procuram explicar como faz e acontece,cada ano que se passa mais alguém é cancelado e não entende o motivo,mesmo que seja, muito maior os casos de tal ídolo, estar errado,talvez á pessoa em si, nunca teve uma oportunidade de que alguém á explicasse de fato oque aconteceu ou acontece, a não ser que a pessoa tenha tal experiencia de vida,ou foi pesquisar sobre oque ocorreu.para que ai sim,tenha um bom argumento,e também,não influenciar mal. aqueles quais não vão queixar-se e apenas vai atormentar outros internautas.']",Sintaxe boa,Alguns desvios,3,Abordagem completa,Duas partes embrionárias,Conclusão é finalizada,Repertório baseado nos textos motivadores,Pertinente ao tema,Com uso improdutivo,2,Com direção,Projeto de texto com algumas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença regular de elementos coesivos inter e/ou intraparágrafos,Algumas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Ausência de proposta ou cópia integral de proposta,Apenas elementos nulos,Não possui estrutura condicional,0
113.html,a-cultura-do-cancelamento-nas-redes-sociais,"['O ser humano como ser pensante e racional é dotado do pensamento crítico, a internet se transformou em um segundo universo totalmente paralelo ao nosso, faz com que hábitos culturais já existentes sejam transportados para esse mundo virtual e alguns são até reinventados, como é o caso do linchamento que hoje se assemelha a cultura do cancelamento nas redes sociais. O que é o essa cultura e quais são seus motivos e consequências? ', 'Em primeiro plano, por muito tempo as pessoas foram linchadas por praticarem atos que destoavam dos demais membros da sociedade, como por exemplo as mulheres acusadas de serem bruxas, apenas porque tinham conhecimento sobre algumas ervas medicinais, eram queimadas em fogueiras, agredidas em praça pública. Esse senso quase que comum, se enraizou na sociedade, e se consolidou na era da internet onde todos estão sob evidência, o filósofo Luiz Felipe Pondé diz que ""a cultura do cancelamento é a transposição do gosto do linchamentopara para o ambito das redes sociais"". ', 'Em segundo lugar, atualmente esta prática é realizada pelo ""Tribunal da Internet"" que minuciosamente se atenta a temas como violência contra a mulher, racismo, meio ambiente, política e outros temas, as ações humanas principalmente de autoridades ou celebridades que possuem muitos seguidores nas redes sociais podem desagradar uma certa parcela da população e gerar críticas que dado o tamanho da repercussão custa a essas pessoas o próprio emprego, desgasta a imagem, e em alguns casos rendem até ações judiciais. ', 'Portanto pode-se inferir que o cancelamento vai muito além da simples punição por práticas vistas como inadequadas na redes, ele tem um cunho de justiça social onde a sociedade se demonstra organizada em defesa de valores em que acredita. O mundo virtual não pode ser interpretado como terra de ninguém, cabe às redes sociais determinarem normas de convívio e aturem com mais rigidez e garantir a fiscalização dos conflitos para que todos possam explorar ao máximo a vida virtual de maneira segura e respeitosa. ']",Sintaxe excelente,Poucos desvios,4,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Legitimado,Pertinente ao tema,Com uso improdutivo,4,Com direção,Projeto de texto com poucas falhas,"Desenvolvimento da maior parte das informações, fatos e opiniões",Sem contradição grave,4,Presença constante de elementos coesivos inter e/ou intraparágrafos,Poucas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,4 elementos válidos,Não possui estrutura condicional,4
33.html,a-cultura-do-cancelamento-nas-redes-sociais,"['A cultura do cancelamento nas redes sociais tem impedido muitas pessoas de fazerem uso do seu direito de liberdade de opinião e de expressão garantidos pelo artigo 19º da Declaração Universal dos Direitos Humanos adotada pela Organização das Nações Unidas em 1948. Tal fato ocorre por causa da intolerância presente na sociedade virtual, que produz o desrespeito ao próximo, impedindo o diálogo e realizando um julgamento sem direito à defesa. ', 'Segundo o dicionário Michaelis, intolerância é a intransigência contra pessoas que têm opiniões, atitudes, ideologias ou crenças diferentes da maioria. Atualmente, essa é uma prática contínua nas redes sociais, que motiva muitos internautas a não se expressem pelo medo de serem julgados, hostilizados e excluídos dos grupos. Logo, faz-se necessária uma intervenção que proporcione à comunidade virtual um sentimento de empatia e de tolerância. ', 'Ademais, é notório que todas as pessoas desejam ser respeitadas. Mas segundo o político João Dória Jr., o respeito é produzido por meio do diálogo. Contrariamente a tal desejo, os praticantes da cultura do cancelamento desrespeitam os demais usuários ao impedir o diálogo, julgando-os sem direito à defesa e levando-os à exclusão dos grupos sociais virtuais. ', 'Diante do exposto, percebe-se que muitos usuários das redes sociais estão deixando de fazer uso de seu direito de opinar e de se expressar devido à cultura do cancelamento. Para que essa prática venha cessar, é necessária a intervenção do Ministério da Educação em parceria com o Ministério da Justiça realizando palestras em escolas e campanhas educativas nas redes sociais, a fim de produzir um sentimento de empatia e tolerância. Também deve mostrar aos usuários os impactos negativos da prática do cancelamento, como danos psicológicos, patrimoniais e possíveis causas judiciais que podem surgir. ']",Sintaxe boa,Poucos desvios,4,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Legitimado,Pertinente ao tema,Com uso improdutivo,4,Com direção,Projeto de texto com algumas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença regular de elementos coesivos inter e/ou intraparágrafos,Algumas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,4 elementos válidos,Não possui estrutura condicional,4
39.html,a-cultura-do-cancelamento-nas-redes-sociais,"['A internet no dias de hoje ganhou muita influência das pessoas, por ser um meio de comunicação rápido e eficaz, a maioria da população tem e usa a internet.Ou seja,se percebe que há várias vantagens em ter acesso à internet, mas infelizmente por ter toda essa rapidez de informação, fez com que as pessoas soubessem mais sobre a vida das outras, começando a expor suas opiniões, e desencadeando assim a cultura do cancelamento. ', 'Cancelar se tornou uma forma de oposição a algo ou alguém, as pessoas começaram a cancelar as outras por suas más ações sobre a sociedade, isso para elas, é uma como forma de lição para quem praticou esse determinado ato poder refletir e mudar a sua conduta. Mas atualmente as pessoas estão cancelando as outras por qualquer motivo, por usar uma coisa cara, por expressar suas opiniões, por não ser o padrão da sociedade, dentre vários outros. ', 'Segundo uma pesquisa feita pelo Rodrigo Martins Leite, psiquiatra do Instituto de Psiquiatria da USP (Universidade de São Paulo), ""as pessoas canceladas terão marcas pelo resto da vida e dificilmente terão uma rotina normal e irão desencadear a reclusão, tristeza, ansiedade e até a depressão."". Então, se reflete que é importante questionar a sociedade sobre suas ações, mas se deve ter responsabilidade ao fazer isso, afinal todos somos seres humanos , podendo errar e aprender com as falhas. ', 'Lamentavelmente se chegou a um ponto em que cancelar alguém por qualquer motivo, tornou-se algo legal de se fazer, e fez as pessoas esquecerem do verdadeiro propósito do cancelamento, que é se opor ao racismo, homofobia e qualquer atitude preconceituosa presenciada na sociedade. Então as pessoas devem parar, refletir, buscar informações confiáveis, entender toda a história, para assim expor suas opiniões sejam elas positivas ou negativas sobre algo ou alguém. ']",Sintaxe boa,Poucos desvios,4,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Repertório baseado nos textos motivadores,Pertinente ao tema,Com uso improdutivo,3,Com direção,Projeto de texto com algumas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença regular de elementos coesivos inter e/ou intraparágrafos,Algumas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,3 elementos válidos,Não possui estrutura condicional,3
41.html,a-cultura-do-cancelamento-nas-redes-sociais,"['São Tomás de Aquino defendeu que todas as pessoas precisam ser tratadas igualmente, com a mesma importância. Porém, a cultura do cancelamento vai de encontro ao ponto de vista do filósofo, uma vez que, as pessoas são vítimas de ódio por erros ou visões diferentes. Dessa forma, é possível pontuar que não só a intolerância, mas as doenças mentais estão diretamente ligados a essa temática. ', 'Primeiramente, é válido lembrar da ausência de respeito com a opinião do próximo como entrave dessa situação. De acordo com a Declaração Universal dos Direitos Humanos, a liberdade de expressão é direito de todos. Apesar disso, parte dos cidadãos não acatam essa lei, visto que atacam pessoas que têm opiniões contrárias e/ou divergentes. Logo, cada vez mais indivíduos não se posicionam diante de certos assuntos devido ao receio do “cancelamento”. ', 'Outrossim, como destaque, algumas enfermidades podem vir à tona através de situações problemáticas como essa. De acordo com a OMS (Organização Mundial da Saúde), o aumento de doenças como ansiedade e depressão estão relacionadas ao uso de redes sociais. À vista disso, nota-se que a cultura do cancelamento está diretamente ligada às redes sociais e internet. Consequentemente, o indivíduo que sofre os ataques pode não aguentar e desenvolver problemas de saúde mental. ', 'Em suma, medidas devem ser tomadas para que haja mudança. Cabe ao Poder Legislativo dos países que vivem nessa realidade, criar e reformular leis de crimes cibernéticos, punições como: pagamento de tratamento psicológico à vítima do cancelamento; além de palestras em escolas públicas e privadas, para que haja consciência de aceitação de pensamentos divergentes. Somente assim, a sociedade ficará cada vez mais próxima do mundo igualitário e respeitoso falado por Tomás de Aquino. ']",Sintaxe boa,Poucos desvios,4,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Legitimado,Pertinente ao tema,Com uso improdutivo,4,Com direção,Projeto de texto com poucas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença regular de elementos coesivos inter e/ou intraparágrafos,Algumas repetições,Poucas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,4 elementos válidos,Não possui estrutura condicional,4
66.html,a-cultura-do-cancelamento-nas-redes-sociais,"['De acordo com o jornalista Alison V. Marques, a cultura do cancelamento começou a ganhar mais força em 2017, quando houve um movimento contra o abuso sexual. Nesse contexto, esse fenômeno na sociedade contemporânea vem aumentando a cada dia nas redes sociais e gerando grandes impactos na vida das pessoas ""canceladas"", principalmente famosos e figuras públicas. Além disso, está sendo criados inúmeros fakes para atacar pessoas até mesmo sem motivos. ', 'Segundo o filósofo iluminista Voltaire, nem sempre podemos agradar, mas podemos falar sempre agradavelmente, porém sabe-se que no meio virtual é impossível acontecer um debate saudável e a criação de fakes para atacar, fazer discursos de ódio contra as pessoas só aumentam, podendo causar depressão, crises de ansiedade naqueles que recebem, mesmo sem ter feito nada de grave. ', 'Nota-se que a internet está se tornando um ambiente problemático. A maioria das figuras públicas enfrentam situações complicadas ao se pronunciarem sobre qualquer assunto, pois uma simples fala pode gerar uma bola de neve , por outro lado, alguns perdem a total razão quando praticam atitudes discriminatórias, injustas, o que torna merecedora do cancelamento, assim perdem seu direito de defesa, pois não há argumentos que possam reverter atitudes racistas, machistas, homofóbicas e preconceituosas. ', 'Portanto, tais medidas seriam suficientes para combater a cultura do cancelamento na sociedade contemporânea, os empresários dessas redes sociais devem fiscalizar de maneira reforçada páginas que podem ser fakes, por meio de detectores, deletando automaticamente os discursos de ódio e criar campanhas onlines para conscientização, a fim de punir as pessoas e evitar que esse tipo de situação aconteça. Dessa forma, teremos uma sociedade mais saudável. ']",Sintaxe regular,Poucos desvios,3,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Legitimado,Pertinente ao tema,Com uso improdutivo,4,Com direção,Projeto de texto com algumas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença regular de elementos coesivos inter e/ou intraparágrafos,Algumas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,4 elementos válidos,Não possui estrutura condicional,4
72.html,a-cultura-do-cancelamento-nas-redes-sociais,"['No ápice da utilização das redes sociais a cultura do cancelamento ganha destaque. A prática que consiste em punir atitudes reprováveis de marcas ou pessoas por meio de críticas e deixando de segui-las é crescente. Esse cenário faz com que os limites da liberdade de expressão nas redes sociais sejam questionados. O direito de liberdade de expressão não cancela o respeito primordial para convivência em sociedade e todo indivíduo deve conscientizar-se de que suas atitudes geram reações no meio coletivo onde está inserido. ', 'Inicialmente, cabe ressaltar que o cancelamento nas redes sociais é uma prática que atinge em maior parte figuras públicas. Publicações ou atos que desagradam os seguidores podem facilmente gerar a revolta e consequente anulação por meio desses . Essa anulação faz com que celebridades digitais e até mesmo empresas possam sofrer redução em seus faturamentos, devido a perda de credibilidade diante do mercado. Sendo assim é fundamental que figuras públicas busquem manter um padrão comportamental responsável diante da sociedade a fim de não serem demasiadamente prejudicadas pela inevitável opinião pública. ', 'Ademais, as causas que geram maior revolta do público em sua maioria não são por motivos banais, mas causas significantes como as ambientais, políticas ou racistas por exemplo. A liberdade de expressão é um direito da figura pública, mas também é um direito do seu público. Logo, é comum que o público se expresse repudiando atitudes que não aprovam por meio do cancelamento nas redes sociais. É até interessante que o público tenha esse poder a fim de que seja reforçada a responsabilidade social naqueles que possuem um elevado poder de influência na vida das pessoas. ', 'Sendo assim, é necessário que figuras públicas tenham um mínimo de etiqueta nas redes sociais a fim de não serem inconvenientes ao tratar de assuntos polêmicos e de relevante importância social. As próprias plataformas digitais como youtube, instagram e facebook podem atuar fornecendo cursos que tratem sobre boas práticas no meio digital incluindo a abordagem de como pequenas e grandes influências digitais devem se posicionar diante de temas polêmicos de modo benéfico para a sociedade. ']",Sintaxe boa,Poucos desvios,4,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Repertório baseado nos textos motivadores,Pertinente ao tema,Com uso improdutivo,3,Com direção,Projeto de texto com poucas falhas,"Desenvolvimento da maior parte das informações, fatos e opiniões",Sem contradição grave,4,Presença constante de elementos coesivos inter e/ou intraparágrafos,Poucas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,4 elementos válidos,Não possui estrutura condicional,4
74.html,a-cultura-do-cancelamento-nas-redes-sociais,"['Durante o Estado Novo, Getúlio Vargas desenvolveu um sistema de controle político chamado Departamento de Imprensa e Propaganda (DIP), cujo o objetivo era sobretudo censurar seus opositores e promover propagandas favoráveis a própria imagem. Hodiernamente, constata-se que a sociedade herdou a atividade na cultura do cancelamento, ação que expõe pessoas e marcas ao linchamento e instauram uma postura totalmente desrespeitosa. Portanto, tal panorama afirma que a problemática baseia-se em dois alicerces fundamentais: a inclinação à violência e a má influência midiática. ', 'De início, é necessário pontuar que a violência é uma condição intrinsecamente ligada à natureza humana. O homo sapiens sempre foi incitado a praticar o linchamento, classificando ações, condutas morais do outro- como o caso da mulher adúltera citado na Bíblia . À vista disso, percebe-se nitidamente que a cultura do cancelamento é o deslocamento do gosto do linchamento para a esfera virtual- redes sociais; a sede de ""justiça pelas próprias mãos"" aliado ao desejo de restabelecer o equilíbrio social, provoca uma sensação de juízo moral. ', 'Outrossim é a má influência que a mídia desempenha no sistema do cancelamento . Consoante ao pensamento do jornalista norte-americano, Joseph Pulitzer, ""com o tempo, a imprensa cínica, mercenária e corrupta formará um público tão vil como ela mesma"". Nessa perspectiva, entende-se por que os cancelamentos ganharam tanta força: em vez das pessoas buscarem ouvir o lado do acusado, reprimem-o e partilham somente princípios que lhes convém, coeficiente que fortalece a mazela. ', 'Destarte, é imprescindível a adoção de medidas ardis para modificar tal cenário. Para isso, analistas de mídias sociais , em parceria com ONGs também especializadas, devem promover intervenções que revertam a má influência midiática. Essas ações devem acontecer por meio das redes sociais, com a criação de vídeos que alertem sobre as reais situações, permitindo a comparação entre a exposição feita pela mídia e as versão apresentadas pelo lado acusado. Ademais, o Ministério da Educação aliado à instituições educacionais, deve propor debates e projetos pedagógicos aos alunos, com o intuito de precavê-los das consequências e incentivar a extinção da cultura do cancelamento. Dessa maneira, será possível alcançar uma sociedade mais justa e empática. ']",Sintaxe excelente,Max dois desvios,5,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Legitimado,Pertinente ao tema,Com uso produtivo,5,Com direção,Projeto de texto com poucas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença constante de elementos coesivos inter e/ou intraparágrafos,Poucas repetições,Poucas inadequações,Não é um monobloco,4,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,5 elementos válidos,Não possui estrutura condicional,5
86.html,a-cultura-do-cancelamento-nas-redes-sociais,"['A rede social é composta por pessoas ou organizações que se conecta por vários motivos, pra se conectar e interagir um com os outros, é um lugar de entretenimento, onde um vídeo, uma foto ou até mesmo frase, pode repercutir de forma positiva ou negativa, por ser um espaço onde as pessoas ganham voz por trás de um teclado. ', 'Surgiu recentemente um termo nas rede sociais como cancelamento , a qual o indivíduo é cancelado por um ato que a sociedade julga ser errado, alguém grava ou tira foto e publica e é compartilhado com várias pessoas . A pessoa passa ser julgada e criticada em rede social, perdendo seguidores, patrocínio, eventos, serviços que fazia usando sua imagem, sendo grandemente prejudicadas. Geralmente acontece com celebridades, mais pode ocorrer com anônimo também. ', 'No entanto cancelar, desprezar alguém não é uma boa forma de corrigir quem errou, pois acaba errando também , essa nova cultura de cancelamento nas redes sociais revela o quanto a sociedade se encontra intolerante a falhas e distante de pensar no outro, de se colocar no lugar de quem errou. ', 'Sendo assim, este caso precisa de um olhar especial do Ministério da Educação e do Poder Público, faz-se necessário implementar campanhas, projetos, palestras com profissionais da área humana e educação em escola pública e privada com o objetivo de ensinar, e fazer refletir nas suas palavras, para que venha ter respeito e empatia com o outro em diversas situações. Verificar casos de agressões estabelecendo uma multa a fim de diminuir a cultura de cancelamento em rede social. ']",Sintaxe regular,Alguns desvios,3,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Repertório baseado nos textos motivadores,Pertinente ao tema,Com uso improdutivo,3,Com direção,Projeto de texto com algumas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,3,Presença regular de elementos coesivos inter e/ou intraparágrafos,Poucas repetições,Algumas inadequações,Não é um monobloco,3,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,4 elementos válidos,Não possui estrutura condicional,4
103.html,a-importancia-das-vacinas-para-sociedade,"['As vacinas são importantes para salvar vidas e prevenir doenças. É necessário manter as campanhas de vacinação para que a sociedade se conscientize da importância do cartão de vacinação completo e atualizado. ', 'As vacinas são substâncias que possuem como função estimular nosso corpo a produzir respostas imunológicas a fim de nos proteger contra determinadas doenças . Elas são produzidas a partir do próprio agente causador da doença, que é colocado em nosso corpo de forma enfraquecida ou inativada. Apesar de não causar a doença, as formas atenuadas e inativadas do antígeno são capazes de estimular nosso sistema imunológico. ', 'À medida que toda a população vai sendo vacinada, os índices caem até que nenhum caso seja mais registrado, pois toda a população está protegida . Apesar de parecer, muitas vezes, impossível proteger toda a população, a imunização tem dado resultados no Brasil e no mundo. ', 'Em nosso país, já ocorreu a erradicação da poliomielite e da varíola graças a utilização de vacinas. Além disso, segundo a Fundação Oswaldo Cruz, ocorreu a eliminação da circulação do vírus autóctone do sarampo em 2000 e da rubéola desde 2009. Outras doenças também tiveram seus casos reduzidos, como é o caso do tétano neonatal. ', 'Decorrente dos casos citados acima é de total importância o governo juntamente com a secretaria de saúde de cada município investir em campanhas de vacinação, para que a população de cada cidade tenha noção da importância das vacinas para sua família. ']",Sintaxe excelente,Max dois desvios,5,Abordagem completa,Nenhuma parte embrionária,Conclusão é finalizada,Muitos trechos de cópias dos textos motivadores,Pertinente ao tema,Com uso improdutivo,2,Com direção,Projeto de texto com muitas falhas,"Desenvolvimento de algumas informações, fatos e opiniões",Sem contradição grave,2,Presença pontual de elementos coesivos inter e/ou intraparágrafos,Algumas repetições,Algumas inadequações,Não é um monobloco,2,Proposta respeita os direitos humanos,Proposta aborda completamente o tema,3 elementos válidos,Não possui estrutura condicional,3
