epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.408772885799408,15.942028999328613,0.0
1,0.41170546412467957,0.084,1.3406442999839783,18.939393997192383,-0.005880996309963082,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1.279214859008789,23.913043975830078,0.00289705121572692
2,0.3981563150882721,0.008,1.2658500671386719,25.0,0.07405703771849126,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",1.2522311508655548,26.811594009399414,0.10504201680672276
3,0.3723912239074707,0.004,1.1916917264461517,31.81818199157715,0.14039831179108408,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 1, 3, 1, 1, 1, 0, 1, 1, 0, 3, 0, 1, 1, 1, 1, 0, 0, 3, 3, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 3, 1, 1, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 3, 1, 0, 1, 1, 0, 1, 1, 1, 3, 1, 0, 3, 1, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]",1.2160715460777283,27.536231994628906,0.1594188426781169
4,0.37637659907341003,0.022,1.150862604379654,33.33333206176758,0.2179982817869417,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 1, 1, 3, 1, 2, 0, 3, 1, 0, 3, 0, 1, 3, 3, 1, 0, 0, 1, 3, 1, 3, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1, 2, 2, 3, 0, 1, 3, 1, 3, 1, 1, 2, 3, 1, 0, 1, 3, 3, 3, 3, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 3, 2, 1, 3, 3, 1, 1, 2, 1, 0, 0, 0, 1, 3, 3, 0, 1, 1, 1, 2, 1, 1, 0, 1, 1, 3, 1, 3, 0, 1, 3, 1, 3, 1, 1, 1, 1, 0, 1, 3, 1, 1, 1, 1, 3, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]",1.2080760300159454,24.63768196105957,0.279509123203617
5,0.3845921754837036,0.052,1.1312070190906525,26.515151977539062,0.21134336488050642,,,1.1824159026145935,30.434782028198242,0.34504209792459906
6,0.39649689197540283,0.074,1.1281592547893524,25.0,0.28836625026170704,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 0, 1, 3, 1, 2, 1, 3, 3, 0, 3, 0, 1, 3, 3, 3, 0, 0, 1, 3, 1, 3, 0, 1, 3, 1, 0, 1, 1, 1, 2, 3, 3, 0, 3, 3, 3, 2, 3, 1, 1, 3, 0, 3, 1, 1, 2, 4, 1, 0, 1, 3, 2, 3, 3, 0, 1, 1, 0, 3, 1, 2, 0, 1, 1, 1, 0, 3, 2, 1, 3, 3, 2, 3, 2, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 1, 2, 1, 3, 0, 1, 1, 3, 1, 3, 0, 0, 3, 1, 4, 1, 1, 1, 1, 0, 3, 2, 0, 3, 1, 1, 3, 1, 0, 1, 1, 1, 3, 3, 2, 1, 1, 3, 1, 1, 3, 0, 1, 1, 1, 3, 1, 3, 1, 0, 0, 0, 1]",1.1659757494926453,30.434782028198242,0.43938901527461816
7,0.4317709505558014,0.09,1.1222588419914246,25.75757598876953,0.3417495029821074,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 3, 3, 4, 1, 2, 1, 4, 3, 0, 4, 0, 1, 3, 4, 3, 0, 0, 1, 4, 2, 3, 0, 1, 4, 2, 0, 3, 1, 1, 3, 3, 3, 0, 4, 4, 3, 2, 4, 1, 2, 3, 3, 3, 1, 1, 3, 4, 2, 0, 1, 4, 4, 3, 3, 1, 1, 1, 1, 3, 1, 3, 0, 1, 1, 2, 1, 3, 3, 1, 3, 3, 2, 4, 3, 1, 0, 0, 0, 3, 3, 4, 0, 3, 3, 2, 3, 1, 3, 0, 1, 1, 4, 1, 3, 0, 1, 4, 1, 4, 1, 1, 3, 1, 0, 3, 4, 1, 4, 1, 3, 3, 1, 0, 1, 1, 1, 3, 4, 2, 2, 1, 3, 1, 1, 3, 0, 1, 1, 1, 3, 3, 3, 3, 0, 1, 0, 2]",1.1882545948028564,35.50724792480469,0.42923802958799506
8,0.44899454712867737,0.1,1.1231645345687866,19.696969985961914,0.2500541086501695,,,1.1843797266483307,30.434782028198242,0.3581738479632204
9,0.4507876932621002,0.084,1.1198229789733887,24.24242401123047,0.34239966438260383,"[2, 0, 3, 4, 4, 1, 3, 4, 1, 0, 1, 1, 1, 3, 4, 4, 0, 2, 1, 1, 2, 1, 0, 3, 3, 3, 0, 2, 3, 4, 1, 1, 4, 2, 4, 3, 4, 1, 4, 2, 4, 3, 0, 4, 4, 3, 3, 4, 4, 0, 3, 4, 3, 2, 4, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1, 4, 1, 3, 0, 5, 3, 1, 2, 4, 1, 3, 1, 0, 2, 3, 4, 4, 2, 1, 5, 3, 3, 2, 1, 0, 4, 2, 4, 1, 3, 0, 0, 2, 3, 4, 2, 1, 4, 0, 1, 4, 1, 0, 3, 4, 1, 5, 0, 2, 1, 3, 2, 4, 4, 2, 0, 1, 4, 2, 1, 3, 0, 4, 1, 0, 4, 1, 0, 2, 0, 1, 0, 3]","[1, 3, 3, 3, 1, 2, 1, 4, 3, 0, 4, 0, 1, 3, 4, 3, 0, 0, 1, 4, 2, 3, 0, 1, 4, 2, 0, 3, 1, 1, 2, 3, 3, 0, 3, 4, 3, 2, 3, 1, 2, 3, 3, 3, 2, 1, 2, 4, 2, 0, 1, 4, 4, 3, 3, 1, 1, 1, 1, 3, 1, 2, 0, 2, 1, 2, 1, 3, 3, 1, 3, 3, 2, 4, 2, 1, 0, 0, 0, 3, 3, 4, 0, 3, 2, 2, 3, 1, 3, 0, 1, 1, 4, 1, 3, 0, 0, 4, 1, 4, 1, 1, 3, 1, 0, 3, 4, 0, 3, 1, 3, 3, 1, 0, 1, 1, 1, 2, 4, 2, 2, 1, 3, 2, 2, 3, 0, 2, 2, 1, 3, 3, 3, 3, 0, 1, 0, 2]",1.1822600960731506,33.33333206176758,0.4270104895104895
