epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",133.92760229110718,0.0,0.0
1,0.36666449904441833,0.0,54.68432146310806,53.030303955078125,0.3620586475164571,"[3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",54.1239709854126,64.49275207519531,0.44354838709677413
2,0.24498184025287628,0.0,48.0672433078289,52.272727966308594,0.3565891472868217,,,46.357167169451714,65.21739196777344,0.45271507016473456
3,0.18511110544204712,0.0,45.258994430303574,53.787879943847656,0.45549738219895286,"[3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",42.272913455963135,66.66666412353516,0.5385187020064404
4,0.15412454307079315,0.0,44.065293967723846,53.030303955078125,0.45802398629354657,"[3, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",40.76591308414936,66.66666412353516,0.5372578241430701
5,0.15373089909553528,0.0,43.67061845958233,52.272727966308594,0.4455331412103746,,,40.01746392995119,65.94203186035156,0.5331529093369418
6,0.1461249142885208,0.0,43.058081708848476,55.30303192138672,0.5447723861930965,"[3, 3, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 3, 3, 3, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",39.28873838484287,65.94203186035156,0.5551356158292575
7,0.13344642519950867,0.0,42.90640089660883,55.30303192138672,0.5765678172095284,"[3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 3, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 3, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",38.99515852332115,65.94203186035156,0.625652574470263
8,0.13967981934547424,0.0,42.65277484804392,56.06060791015625,0.5869041887337506,"[4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 4, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 3, 3, 3, 4, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 3, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",38.99213546514511,66.66666412353516,0.634771986970684
9,0.12779481709003448,0.0,42.40504276007414,57.57575607299805,0.6021042563366811,"[4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 2, 4, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 5, 3, 4, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 2, 4, 3, 3, 4, 4, 4, 4, 2, 3, 3, 4, 3, 2, 3, 2, 3, 3, 4, 2, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 2, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 5, 3, 3, 4, 2, 3, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 5, 3, 4, 4, 4, 4, 3, 3, 4, 5, 3, 3, 3, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 4, 3, 2, 3, 3, 4, 4, 5, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 4, 5, 2, 3, 2, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 4, 2, 4, 0, 3, 2, 4, 2, 4, 3, 5, 4, 3, 3, 4, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 5, 3, 3, 4, 4, 3, 3, 5, 2, 4, 3, 3]",38.91758210211992,65.21739196777344,0.6065032516258129
