epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,y_0,y_hat_0,loss_test-0,test-0_acc,test-0_qwk
0,,,,,,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[3, 3, 4, 3, 3, 1, 3, 3, 1, 3, 1, 3, 1, 4, 4, 3, 1, 3, 2, 1, 2, 1, 2, 2, 4, 2, 1, 3, 2, 3, 1, 3, 4, 3, 5, 3, 3, 1, 4, 3, 4, 4, 4, 5, 2, 3, 4, 3, 3, 2, 4, 5, 3, 3, 4, 4, 3, 4, 3, 1, 2, 1, 3, 1, 1, 4, 1, 4, 5, 3, 3, 2, 4, 3, 3, 3, 1, 1, 4, 4, 4, 5, 3, 1, 5, 3, 4, 2, 1, 2, 3, 3, 4, 2, 3, 4, 1, 4, 3, 3, 4, 2, 3, 0, 4, 3, 1, 2, 4, 3, 3, 5, 3, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 3, 1, 3, 4, 2, 1, 2, 4, 1, 1, 4, 2, 1, 1, 4]",78.40610322356224,13.043478012084961,0.0
1,0.5751385688781738,0.31,50.63523532450199,40.15151596069336,0.10641821946169772,"[3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 3, 4, 3, 3, 1, 3, 3, 1, 3, 1, 3, 1, 4, 4, 3, 1, 3, 2, 1, 2, 1, 2, 2, 4, 2, 1, 3, 2, 3, 1, 3, 4, 3, 5, 3, 3, 1, 4, 3, 4, 4, 4, 5, 2, 3, 4, 3, 3, 2, 4, 5, 3, 3, 4, 4, 3, 4, 3, 1, 2, 1, 3, 1, 1, 4, 1, 4, 5, 3, 3, 2, 4, 3, 3, 3, 1, 1, 4, 4, 4, 5, 3, 1, 5, 3, 4, 2, 1, 2, 3, 3, 4, 2, 3, 4, 1, 4, 3, 3, 4, 2, 3, 0, 4, 3, 1, 2, 4, 3, 3, 5, 3, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 3, 1, 3, 4, 2, 1, 2, 4, 1, 1, 4, 2, 1, 1, 4]",55.84148195385933,32.60869598388672,0.034332988624612315
2,0.5586249232292175,0.288,48.12901808321476,43.181819915771484,0.29488338455975416,"[3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3]","[3, 3, 4, 3, 3, 1, 3, 3, 1, 3, 1, 3, 1, 4, 4, 3, 1, 3, 2, 1, 2, 1, 2, 2, 4, 2, 1, 3, 2, 3, 1, 3, 4, 3, 5, 3, 3, 1, 4, 3, 4, 4, 4, 5, 2, 3, 4, 3, 3, 2, 4, 5, 3, 3, 4, 4, 3, 4, 3, 1, 2, 1, 3, 1, 1, 4, 1, 4, 5, 3, 3, 2, 4, 3, 3, 3, 1, 1, 4, 4, 4, 5, 3, 1, 5, 3, 4, 2, 1, 2, 3, 3, 4, 2, 3, 4, 1, 4, 3, 3, 4, 2, 3, 0, 4, 3, 1, 2, 4, 3, 3, 5, 3, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 3, 1, 3, 4, 2, 1, 2, 4, 1, 1, 4, 2, 1, 1, 4]",54.71939197182655,36.956520080566406,0.2564102564102564
3,0.5695741772651672,0.102,47.19733306765556,42.42424392700195,0.28804841149773075,,,54.13071110844612,36.956520080566406,0.30046422282695695
4,0.4877583980560303,0.056,46.45856335759163,44.69696807861328,0.30813849189738685,"[3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 2, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 3, 4, 3, 3, 1, 3, 3, 1, 3, 1, 3, 1, 4, 4, 3, 1, 3, 2, 1, 2, 1, 2, 2, 4, 2, 1, 3, 2, 3, 1, 3, 4, 3, 5, 3, 3, 1, 4, 3, 4, 4, 4, 5, 2, 3, 4, 3, 3, 2, 4, 5, 3, 3, 4, 4, 3, 4, 3, 1, 2, 1, 3, 1, 1, 4, 1, 4, 5, 3, 3, 2, 4, 3, 3, 3, 1, 1, 4, 4, 4, 5, 3, 1, 5, 3, 4, 2, 1, 2, 3, 3, 4, 2, 3, 4, 1, 4, 3, 3, 4, 2, 3, 0, 4, 3, 1, 2, 4, 3, 3, 5, 3, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 3, 1, 3, 4, 2, 1, 2, 4, 1, 1, 4, 2, 1, 1, 4]",53.512033477425575,36.23188400268555,0.3206751054852319
5,0.5078219771385193,0.1,45.85166631639004,45.45454406738281,0.3928386092371562,"[3, 3, 3, 4, 3, 4, 2, 4, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 4, 3, 2, 3, 2, 3, 3, 2, 2, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 2, 4, 4, 3, 4, 2, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 3, 4, 4, 3, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 2, 4, 3, 4, 4, 2, 4, 3, 4, 3, 2, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 2, 3, 3, 4, 3, 3, 4, 3, 3, 2, 3]","[3, 3, 4, 3, 3, 1, 3, 3, 1, 3, 1, 3, 1, 4, 4, 3, 1, 3, 2, 1, 2, 1, 2, 2, 4, 2, 1, 3, 2, 3, 1, 3, 4, 3, 5, 3, 3, 1, 4, 3, 4, 4, 4, 5, 2, 3, 4, 3, 3, 2, 4, 5, 3, 3, 4, 4, 3, 4, 3, 1, 2, 1, 3, 1, 1, 4, 1, 4, 5, 3, 3, 2, 4, 3, 3, 3, 1, 1, 4, 4, 4, 5, 3, 1, 5, 3, 4, 2, 1, 2, 3, 3, 4, 2, 3, 4, 1, 4, 3, 3, 4, 2, 3, 0, 4, 3, 1, 2, 4, 3, 3, 5, 3, 4, 1, 4, 4, 4, 4, 3, 4, 1, 4, 3, 1, 3, 4, 2, 1, 2, 4, 1, 1, 4, 2, 1, 1, 4]",52.81285102665424,39.130435943603516,0.3492888820920629
6,0.5049094557762146,0.03,45.592643067240715,42.42424392700195,0.3242777554419619,,,52.49093882739544,39.130435943603516,0.35559594123883087
7,0.4369547665119171,0.02,45.424417957663536,45.45454406738281,0.3420234123169146,,,52.32510380446911,39.130435943603516,0.35734783265367753
8,0.5242598652839661,0.018,45.25033085048199,42.42424392700195,0.33264117205975663,,,52.19060629606247,39.855072021484375,0.4103464062261558
9,0.47715291380882263,0.032,45.08876459300518,43.93939208984375,0.2886354472668625,,,52.528599336743355,38.40579605102539,0.351523419736244
