epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,concordancia_validation,y,y_hat,loss_test,test_acc,test_qwk,concordancia_test
0,,,,,,,,,1.6591442227363586,0.7246376872062683,0.0017049883086517337,0.6666666666666666
1,0.39688560366630554,0.502,1.2586292922496796,47.727272033691406,0.0,0.015151515151515152,"[3, 2, 4, 3, 5, 4, 4, 3, 4, 5, 4, 4, 3, 2, 3, 3, 4, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 3, 2, 3, 5, 3, 3, 4, 2, 4, 3, 3, 2, 4, 3, 3, 3, 3, 3, 3, 4, 0, 4, 4, 2, 3, 2, 4, 3, 3, 4, 5, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 5, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 4, 2, 4, 4, 3, 3, 3, 4, 3, 4, 4, 2, 3, 5, 3, 3, 4, 4, 3, 4, 4, 3, 3, 3, 5, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 5, 3, 3, 2, 4, 4, 4, 4, 5, 4, 3]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1.2024340331554413,39.855072021484375,0.06901128069011275,0.014492753623188406
2,0.3277904689311981,0.012,1.0206367373466492,47.727272033691406,0.0,0.0,,,1.0682290494441986,36.956520080566406,0.0,0.0
3,0.3146096169948578,0.0,1.005910038948059,59.09090805053711,0.46267535070140275,0.0,"[3, 2, 4, 4, 4, 4, 2, 3, 3, 3, 3, 4, 5, 5, 4, 4, 3, 3, 4, 3, 4, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 2, 3, 2, 3, 3, 3, 3, 4, 3, 2, 3, 5, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 5, 3, 3, 3, 5, 4, 4, 4, 4, 5, 3, 4, 3, 3, 3, 3, 5, 4, 3, 4, 3, 4, 3, 3, 4, 4, 2, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 3, 3, 4, 0, 4, 4, 4, 4, 3, 4, 3, 3, 2, 3, 3, 4, 5, 3, 2, 3, 3, 3, 4, 4, 3, 4, 5, 4, 3, 3]","[3, 3, 4, 4, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 4]",0.9201726019382477,66.66666412353516,0.5600944510035419,0.0
4,0.3557429015636444,0.0,0.9728143215179443,57.57575607299805,0.4374045801526718,0.0,,,0.8436498641967773,64.49275207519531,0.5149953139643861,0.0
5,0.23329029977321625,0.0,0.934743195772171,59.84848403930664,0.4628279883381925,0.0,"[4, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 5, 3, 4, 4, 5, 3, 4, 2, 4, 2, 3, 4, 4, 4, 4, 3, 3, 5, 4, 3, 3, 3, 3, 4, 5, 4, 3, 3, 4, 5, 3, 3, 4, 3, 5, 4, 3, 4, 0, 3, 3, 3, 3, 2, 4, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 5, 3, 4, 4, 4, 4, 3, 4, 3, 3, 5, 4, 4, 4, 3, 3, 4, 5, 3, 4, 2, 3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 2, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 5, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 4, 4, 4, 2, 3, 2, 2, 3, 3, 3, 4, 4, 3, 4]","[3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4]",0.7470131069421768,74.63768005371094,0.6142440447253281,0.0
6,0.2487938106060028,0.012,0.7732709050178528,65.1515121459961,0.5758008569679658,0.15151515151515152,"[4, 4, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 4, 2, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 2, 5, 4, 4, 5, 4, 5, 4, 4, 4, 3, 4, 5, 3, 4, 4, 4, 3, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 5, 4, 3, 3, 3, 3, 3, 3, 5, 3, 3, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 2, 4, 4, 2, 3, 4, 4, 3, 2, 3, 3, 5, 4, 2, 3, 5, 5, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 5, 3, 4, 3, 4, 3, 3, 4, 4, 3, 2, 3, 3, 3, 4, 2, 0, 3, 3, 3, 4, 2, 4]","[4, 4, 4, 4, 5, 4, 3, 3, 4, 3, 3, 3, 4, 4, 5, 3, 3, 4, 3, 4, 4, 4, 4, 5, 3, 4, 4, 4, 4, 3, 5, 4, 4, 5, 4, 4, 4, 4, 4, 3, 4, 5, 3, 4, 5, 4, 4, 3, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 4, 5, 3, 3, 5, 3, 3, 3, 3, 5, 3, 3, 3, 4, 3, 3, 5, 4, 4, 3, 4, 4, 3, 5, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 5, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 5, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4]",0.8348172903060913,68.840576171875,0.6440580817730226,0.11594202898550725
7,0.2606249749660492,0.088,0.8744136393070221,56.818180084228516,0.4593908629441624,0.06060606060606061,,,0.6835799068212509,68.1159439086914,0.5695848569584858,0.0
8,0.20157496631145477,0.106,1.0006602108478546,60.60606002807617,0.5476404494382022,0.030303030303030304,,,0.7025045156478882,75.36231994628906,0.6823065117298838,0.0
9,0.19423125684261322,0.11,0.9872725754976273,63.6363639831543,0.5919528949950932,0.13636363636363635,"[0, 4, 3, 5, 5, 4, 4, 3, 3, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 3, 3, 4, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 2, 4, 3, 4, 3, 3, 3, 4, 3, 3, 4, 3, 4, 2, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 3, 3, 5, 3, 2, 2, 4, 3, 2, 5, 2, 3, 3, 4, 3, 4, 4, 3, 4, 5, 5, 3, 4, 5, 5, 3, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 2, 3, 3, 3, 3, 4, 3, 4, 2, 5, 4, 3, 3, 2, 4, 4, 4, 4, 3, 5, 4]","[3, 4, 3, 5, 4, 4, 4, 3, 3, 4, 5, 3, 3, 4, 3, 4, 4, 3, 3, 4, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 3, 5, 3, 3, 3, 4, 3, 4, 3, 2, 5, 3, 4, 3, 3, 3, 5, 3, 3, 4, 4, 4, 3, 4, 4, 5, 4, 2, 4, 4, 3, 3, 4, 3, 4, 5, 3, 4, 3, 3, 3, 5, 4, 2, 3, 4, 3, 3, 5, 2, 2, 3, 4, 3, 3, 4, 3, 3, 5, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 3, 5, 5, 4, 4, 3, 3, 3, 3, 4, 4, 3, 4, 3, 4, 3, 4, 4, 3, 3, 2, 4, 4, 4, 4, 4, 4, 4]",0.667075514793396,73.18840789794922,0.6964252978918424,0.08695652173913043
