epoca,loss_train,concodancia_train,loss_validation,validation_acc,validation_qwk,concordancia_validation,y,y_hat,loss_test,test_acc,test_qwk,concordancia_test
0,,,,,,,,,1.4141865074634552,1.4492753744125366,0.00014154532104249107,0.043478260869565216
1,0.3434564471244812,0.478,1.0993285477161407,47.727272033691406,0.0,0.6060606060606061,"[3, 3, 4, 4, 3, 5, 3, 4, 3, 4, 3, 3, 4, 4, 5, 2, 3, 3, 3, 3, 4, 3, 4, 4, 5, 3, 4, 4, 3, 5, 3, 4, 5, 2, 4, 4, 4, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 5, 5, 3, 3, 4, 3, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 2, 3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 4, 3, 5, 3, 3, 0, 2, 4, 2, 3, 4, 2, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 3, 4, 3, 2, 3, 3, 3, 4, 2, 3, 4, 3, 5, 4, 5, 4, 4, 3, 4, 3, 3, 4, 4, 2, 3, 3, 3, 3, 4, 3, 2, 3, 3, 3, 4]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4]",1.0203721821308136,39.855072021484375,0.11263858093126378,0.21739130434782608
2,0.30420249700546265,0.406,1.21196448802948,50.75757598876953,0.2978723404255319,0.7878787878787878,"[3, 3, 3, 4, 3, 3, 4, 3, 3, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 5, 4, 5, 2, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 3, 5, 2, 2, 3, 4, 5, 3, 3, 2, 3, 4, 3, 2, 3, 4, 4, 3, 4, 3, 3, 2, 2, 4, 3, 4, 4, 3, 3, 2, 4, 4, 5, 4, 3, 3, 4, 0, 3, 3, 3, 4, 2, 5, 3, 5, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 3, 4, 4, 4, 2, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 4, 5, 3, 4, 4, 3, 3, 3, 5, 4, 5, 3, 4, 4, 3, 3, 4, 4, 4]","[3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4]",0.9145201146602631,58.69565200805664,0.37909552376557465,0.6376811594202898
3,0.2991167902946472,0.598,0.8308825343847275,58.33333206176758,0.43833251110014804,0.696969696969697,"[3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 2, 3, 3, 2, 5, 2, 3, 3, 4, 5, 4, 4, 5, 3, 4, 4, 3, 5, 5, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 2, 5, 4, 3, 4, 3, 3, 3, 4, 3, 4, 4, 3, 4, 4, 3, 3, 5, 3, 4, 3, 4, 2, 4, 4, 4, 3, 4, 3, 4, 3, 2, 4, 3, 4, 3, 4, 2, 4, 0, 4, 4, 2, 4, 4, 3, 3, 4, 4, 4, 3, 3, 2, 3, 3, 4, 3, 5, 4, 3, 3, 3, 4, 4, 4, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 3, 4, 5, 3, 3, 3]","[3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 4, 3, 3, 3, 4, 4, 4, 4, 3, 3, 3, 4, 3, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 3]",0.8306623697280884,76.08695983886719,0.6329787234042553,0.4492753623188406
4,0.28164008259773254,0.542,0.8017946779727936,56.818180084228516,0.426438188494492,0.696969696969697,,,0.6585987508296967,73.91304016113281,0.5862317102422643,0.4927536231884058
5,0.31173622608184814,0.514,0.8686387240886688,56.818180084228516,0.4231905465288035,0.696969696969697,,,0.7077510505914688,70.28985595703125,0.5752840909090908,0.5652173913043478
6,0.2053174376487732,0.476,0.8179101943969727,57.57575607299805,0.4788084766093562,0.5757575757575758,"[2, 3, 3, 4, 3, 3, 5, 3, 3, 2, 4, 4, 4, 3, 3, 4, 3, 3, 3, 2, 5, 3, 3, 4, 4, 3, 3, 3, 4, 3, 4, 5, 4, 4, 3, 4, 3, 3, 3, 3, 5, 2, 4, 2, 4, 3, 2, 3, 3, 4, 3, 3, 3, 4, 3, 4, 3, 3, 4, 0, 5, 3, 3, 4, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 5, 3, 4, 3, 3, 3, 3, 3, 2, 4, 3, 4, 4, 4, 2, 3, 5, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 2, 3, 4, 3, 3, 2, 5, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 5, 3, 4, 4, 3, 3, 5, 4]","[3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 4, 4, 5, 3, 3, 4, 3, 3, 3, 3, 5, 3, 3, 4, 3, 4, 3, 4, 4, 3, 4, 5, 4, 3, 3, 5, 3, 3, 3, 4, 5, 3, 5, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 5, 3, 4, 3, 4, 4, 3, 5, 3, 3, 4, 3, 4, 4, 5, 4, 3, 4, 4, 3, 4, 4, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3, 4, 4, 5, 4, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 4, 4, 3, 3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 5, 4, 4, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 4]",0.7042726278305054,71.73912811279297,0.6293169608595548,0.391304347826087
7,0.24715375900268555,0.442,1.088238075375557,62.121212005615234,0.5903639806438039,0.5606060606060606,"[5, 4, 5, 3, 4, 3, 4, 4, 4, 4, 3, 3, 5, 5, 3, 3, 3, 3, 3, 3, 4, 4, 4, 2, 4, 3, 3, 3, 4, 4, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 4, 4, 5, 4, 3, 0, 5, 3, 4, 3, 4, 4, 3, 4, 3, 2, 3, 4, 3, 4, 3, 2, 3, 4, 3, 3, 3, 4, 2, 3, 4, 3, 4, 5, 3, 3, 3, 5, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 2, 4, 4, 3, 4, 4, 4, 3, 2, 2, 2, 3, 3, 5, 4, 2, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 4, 3, 4, 3, 3, 3, 4, 2, 5]","[4, 4, 5, 5, 4, 3, 4, 4, 4, 4, 3, 3, 5, 4, 3, 3, 4, 3, 3, 4, 4, 4, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 4, 4, 4, 5, 3, 4, 3, 3, 5, 4, 4, 3, 4, 4, 3, 4, 3, 3, 3, 4, 3, 4, 3, 2, 3, 4, 3, 3, 3, 5, 3, 3, 4, 3, 4, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 5, 3, 2, 2, 3, 3, 3, 4, 5, 2, 4, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 4, 3, 4]",0.6320807039737701,76.81159210205078,0.6824094456674005,0.4057971014492754
8,0.16816984117031097,0.438,0.793747678399086,59.84848403930664,0.5839104954714971,0.48484848484848486,,,0.6134195178747177,70.28985595703125,0.6766844401357246,0.3188405797101449
9,0.21186068654060364,0.416,0.9243507832288742,64.39393615722656,0.6045897644191716,0.6060606060606061,"[3, 4, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 3, 2, 3, 3, 2, 3, 4, 4, 4, 3, 5, 4, 3, 3, 3, 3, 4, 3, 2, 2, 3, 3, 3, 3, 4, 4, 5, 3, 4, 2, 4, 5, 3, 3, 3, 4, 3, 2, 5, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 2, 4, 0, 4, 2, 4, 4, 4, 4, 4, 2, 3, 3, 3, 4, 3, 3, 4, 3, 4, 4, 5, 4, 4, 3, 5, 4, 4, 4, 4, 3, 4, 3, 4, 3, 4, 5, 5, 4, 4, 3, 4, 4, 3, 4, 5, 3, 5, 2, 4, 4, 3, 4, 3, 3]","[3, 4, 4, 4, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 3, 4, 4, 3, 2, 3, 3, 3, 5, 5, 4, 4, 3, 5, 4, 3, 4, 3, 3, 4, 3, 2, 2, 3, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 4, 3, 3, 4, 4, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 4, 3, 4, 2, 3, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 4, 3, 4, 3, 4, 3, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 3, 2, 4, 5, 5, 5, 4, 3, 4, 4, 3, 4, 4, 2, 3, 3, 4, 4, 3, 4, 3, 3]",0.6723865568637848,75.36231994628906,0.667870036101083,0.42028985507246375
